B:Ln
47.223:9.834
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,-1.42,82.55,0.0,-0.0,0.0,239.78,1.63,149.0,91526.0
20140101:0100,-1.8,80.89,0.0,-0.0,0.0,234.94,1.78,143.0,91532.0
20140101:0200,-2.18,79.23,0.0,-0.0,0.0,230.09,1.94,137.0,91538.0
20140101:0300,-2.57,77.57,0.0,-0.0,0.0,225.24,2.09,125.0,91538.0
20140101:0400,-2.95,75.91,0.0,-0.0,0.0,220.4,2.24,113.0,91538.0
20140101:0500,-3.34,74.25,0.0,-0.0,0.0,215.55,2.4,101.0,91538.0
20140101:0600,-3.72,72.59,0.0,-0.0,0.0,210.7,2.55,106.0,91547.0
20140101:0700,-4.11,70.93,0.0,-0.0,0.0,205.86,2.71,110.0,91556.0
20140101:0800,-1.86,69.25,38.0,0.0,38.0,218.75,2.08,115.0,91565.0
20140101:0900,0.48,63.63,203.0,565.15,70.0,222.2,1.98,132.0,91508.0
20140101:1000,2.82,58.01,287.0,691.77,75.0,225.65,1.87,149.0,91451.0
20140101:1100,5.16,52.39,260.0,329.23,149.0,229.1,1.77,166.0,91394.0
20140101:1200,4.56,57.07,252.0,341.21,141.0,229.4,1.92,166.0,91367.0
20140101:1300,3.95,61.75,209.0,356.94,112.0,229.7,2.07,166.0,91341.0
20140101:1400,3.35,66.43,145.0,510.76,53.0,230.0,2.22,166.0,91314.0
20140101:1500,2.66,67.64,13.0,0.0,13.0,229.05,2.56,163.0,91317.0
20140101:1600,1.98,68.86,0.0,-0.0,0.0,228.1,2.9,159.0,91320.0
20140101:1700,1.29,70.07,0.0,-0.0,0.0,227.15,3.24,156.0,91323.0
20140101:1800,0.31,67.83,0.0,-0.0,0.0,229.03,3.4,155.0,91311.0
20140101:1900,-0.68,65.58,0.0,-0.0,0.0,230.92,3.55,154.0,91299.0
20140101:2000,-1.67,63.34,0.0,-0.0,0.0,232.8,3.71,153.0,91287.0
