B:Ln
47.123:10.001
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-2.87,90.51,0.0,-0.0,0.0,240.74,1.08,358.0,93694.0
20150101:0100,-3.39,89.54,0.0,-0.0,0.0,234.34,1.17,358.0,93676.0
20150101:0200,-3.91,88.57,0.0,-0.0,0.0,227.93,1.25,358.0,93658.0
20150101:0300,-4.43,87.6,0.0,-0.0,0.0,221.53,1.33,358.0,93637.0
20150101:0400,-4.95,86.63,0.0,-0.0,0.0,215.13,1.41,358.0,93616.0
20150101:0500,-5.47,85.67,0.0,-0.0,0.0,208.72,1.49,358.0,93595.0
20150101:0600,-5.99,84.7,0.0,-0.0,0.0,202.32,1.57,358.0,93589.0
20150101:0700,-6.51,83.73,0.0,-0.0,0.0,195.92,1.65,357.0,93583.0
20150101:0800,-1.79,80.21,27.0,0.0,27.0,220.75,1.54,357.0,93577.0
20150101:0900,0.67,74.87,24.0,0.0,24.0,222.87,1.21,354.0,93550.0
20150101:1000,3.13,69.52,30.0,0.0,30.0,224.98,0.87,351.0,93523.0
20150101:1100,5.59,64.18,30.0,0.0,30.0,227.1,0.54,348.0,93495.0
20150101:1200,5.32,68.92,29.0,0.0,29.0,229.45,0.77,348.0,93511.0
20150101:1300,5.06,73.65,23.0,0.0,23.0,231.8,1.0,349.0,93526.0
20150101:1400,4.79,78.39,14.0,0.0,14.0,234.15,1.23,350.0,93541.0
20150101:1500,3.33,79.67,3.0,0.0,3.0,233.15,1.16,348.0,93511.0
20150101:1600,1.87,80.95,0.0,-0.0,0.0,232.15,1.1,347.0,93480.0
20150101:1700,0.41,82.23,0.0,-0.0,0.0,231.15,1.03,346.0,93450.0
20150101:1800,-0.51,83.38,0.0,-0.0,0.0,231.05,1.02,343.0,93441.0
20150101:1900,-1.42,84.52,0.0,-0.0,0.0,230.95,1.01,340.0,93432.0
20150101:2000,-2.34,85.67,0.0,-0.0,0.0,230.85,0.99,337.0,93423.0
20150101:2100,-2.42,86.43,0.0,-0.0,0.0,230.42,1.15,333.0,93360.0
20150101:2200,-2.5,87.19,0.0,-0.0,0.0,229.98,1.31,328.0,93297.0
20150101:2300,-2.59,87.95,0.0,-0.0,0.0,229.55,1.46,324.0,93234.0
20150102:0000,-2.63,86.65,0.0,-0.0,0.0,229.6,1.36,323.0,93255.0
20150102:0100,-2.67,85.35,0.0,-0.0,0.0,229.65,1.26,321.0,93276.0
20150102:0200,-2.7,84.05,0.0,-0.0,0.0,229.7,1.16,320.0,93297.0
20150102:0300,-2.68,83.64,0.0,-0.0,0.0,229.37,1.14,321.0,93237.0
20150102:0400,-2.65,83.22,0.0,-0.0,0.0,229.03,1.13,322.0,93176.0
20150102:0500,-2.62,82.81,0.0,-0.0,0.0,228.7,1.12,324.0,93116.0
20150102:0600,-1.43,77.87,0.0,-0.0,0.0,228.63,1.06,324.0,93107.0
20150102:0700,-0.23,72.93,0.0,-0.0,0.0,228.57,1.0,325.0,93098.0
20150102:0800,0.97,67.99,28.0,0.0,28.0,228.5,0.94,326.0,93089.0
20150102:0900,3.14,64.9,58.0,0.0,58.0,233.52,1.02,323.0,93074.0
20150102:1000,5.31,61.8,86.0,0.0,86.0,238.53,1.09,319.0,93059.0
20150102:1100,7.49,58.71,20.0,0.0,20.0,243.55,1.17,316.0,93044.0
20150102:1200,7.08,63.4,151.0,0.0,151.0,248.45,1.16,320.0,93077.0
20150102:1300,6.68,68.09,130.0,0.0,130.0,253.35,1.15,325.0,93110.0
20150102:1400,6.28,72.78,77.0,0.0,77.0,258.25,1.14,330.0,93143.0
20150102:1500,5.3,74.66,5.0,0.0,5.0,264.08,1.2,330.0,93185.0
20150102:1600,4.33,76.54,0.0,-0.0,0.0,269.92,1.25,331.0,93228.0
20150102:1700,3.35,78.42,0.0,-0.0,0.0,275.75,1.3,332.0,93270.0
20150102:1800,3.07,81.16,0.0,-0.0,0.0,275.35,1.31,333.0,93366.0
20150102:1900,2.79,83.9,0.0,-0.0,0.0,274.95,1.33,334.0,93462.0
20150102:2000,2.51,86.64,0.0,-0.0,0.0,274.55,1.35,336.0,93559.0
20150102:2100,2.28,88.01,0.0,-0.0,0.0,267.0,1.26,337.0,93568.0
20150102:2200,2.04,89.38,0.0,-0.0,0.0,259.45,1.16,338.0,93577.0
20150102:2300,1.8,90.75,0.0,-0.0,0.0,251.9,1.06,339.0,93586.0
20150103:0000,1.79,90.01,0.0,-0.0,0.0,249.73,1.03,338.0,93550.0
20150103:0100,1.77,89.26,0.0,-0.0,0.0,247.57,1.01,338.0,93514.0
20150103:0200,1.76,88.52,0.0,-0.0,0.0,245.4,0.98,338.0,93477.0
20150103:0300,1.49,90.03,0.0,-0.0,0.0,245.33,1.22,339.0,93435.0
20150103:0400,1.23,91.54,0.0,-0.0,0.0,245.27,1.46,340.0,93393.0
20150103:0500,0.97,93.05,0.0,-0.0,0.0,245.2,1.7,341.0,93351.0
20150103:0600,1.54,91.48,0.0,-0.0,0.0,246.13,1.78,338.0,93276.0
20150103:0700,2.11,89.92,0.0,-0.0,0.0,247.07,1.86,335.0,93200.0
20150103:0800,2.68,88.35,54.0,0.0,54.0,248.0,1.94,332.0,93125.0
20150103:0900,3.96,83.44,61.0,0.0,61.0,253.57,1.89,317.0,93002.0
20150103:1000,5.25,78.54,147.0,0.0,147.0,259.13,1.83,302.0,92878.0
20150103:1100,6.54,73.63,62.0,0.0,62.0,264.7,1.77,288.0,92755.0
20150103:1200,6.75,72.35,115.0,0.0,115.0,262.75,2.07,270.0,92574.0
