B:Ln
47.413:9.744
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.61,78.81,0.0,-0.0,0.0,220.46,1.53,149.0,96539.0
20140101:0100,1.6,78.07,0.0,-0.0,0.0,220.03,1.63,143.0,96546.0
20140101:0200,1.58,77.33,0.0,-0.0,0.0,219.59,1.74,137.0,96552.0
20140101:0300,1.57,76.59,0.0,-0.0,0.0,219.16,1.84,125.0,96552.0
20140101:0400,1.56,75.84,0.0,-0.0,0.0,218.73,1.95,113.0,96552.0
20140101:0500,1.54,75.1,0.0,-0.0,0.0,218.29,2.06,101.0,96552.0
20140101:0600,1.53,74.36,0.0,-0.0,0.0,217.86,2.16,106.0,96562.0
20140101:0700,1.52,73.62,0.0,-0.0,0.0,217.42,2.27,110.0,96571.0
20140101:0800,3.29,69.25,51.0,0.0,51.0,218.75,1.78,115.0,96581.0
20140101:0900,5.25,63.63,84.0,8.62,82.0,222.2,1.66,132.0,96520.0
20140101:1000,7.22,58.01,207.0,211.11,143.0,225.65,1.54,149.0,96460.0
20140101:1100,9.18,52.39,303.0,598.84,103.0,229.1,1.42,166.0,96400.0
20140101:1200,8.61,57.07,306.0,704.03,79.0,229.4,1.55,166.0,96372.0
20140101:1300,8.03,61.75,253.0,727.83,57.0,229.7,1.69,166.0,96343.0
20140101:1400,7.45,66.43,139.0,448.95,59.0,230.0,1.82,166.0,96315.0
20140101:1500,6.75,67.64,27.0,180.7,17.0,229.05,2.1,163.0,96318.0
20140101:1600,6.05,68.86,0.0,-0.0,0.0,228.1,2.38,159.0,96321.0
20140101:1700,5.34,70.07,0.0,-0.0,0.0,227.15,2.66,156.0,96324.0
20140101:1800,4.88,67.83,0.0,-0.0,0.0,229.03,2.76,155.0,96312.0
20140101:1900,4.41,65.58,0.0,-0.0,0.0,230.92,2.86,154.0,96299.0
20140101:2000,3.95,63.34,0.0,-0.0,0.0,232.8,2.95,153.0,96287.0
20140101:2100,3.99,62.54,0.0,-0.0,0.0,240.55,2.96,153.0,96220.0
20140101:2200,4.03,61.75,0.0,-0.0,0.0,248.3,2.97,154.0,96154.0
20140101:2300,4.06,60.95,0.0,-0.0,0.0,256.05,2.98,154.0,96087.0
20140102:0000,3.62,61.82,0.0,-0.0,0.0,263.32,2.97,154.0,96065.0
20140102:0100,3.17,62.68,0.0,-0.0,0.0,270.58,2.97,154.0,96043.0
20140102:0200,2.73,63.55,0.0,-0.0,0.0,277.85,2.97,154.0,96021.0
20140102:0300,2.83,65.81,0.0,-0.0,0.0,282.5,2.88,154.0,95980.0
20140102:0400,2.93,68.08,0.0,-0.0,0.0,287.15,2.79,154.0,95939.0
20140102:0500,3.03,70.34,0.0,-0.0,0.0,291.8,2.7,153.0,95898.0
20140102:0600,3.47,72.83,0.0,-0.0,0.0,294.2,2.47,155.0,95920.0
20140102:0700,3.91,75.33,0.0,-0.0,0.0,296.6,2.23,156.0,95942.0
20140102:0800,4.36,77.82,15.0,0.0,15.0,299.0,2.0,157.0,95964.0
20140102:0900,4.88,78.88,60.0,0.0,60.0,301.87,1.64,156.0,95970.0
20140102:1000,5.41,79.94,69.0,0.0,69.0,304.73,1.28,156.0,95977.0
20140102:1100,5.94,81.0,96.0,0.0,96.0,307.6,0.92,155.0,95983.0
20140102:1200,6.34,80.69,128.0,9.26,125.0,307.55,1.21,155.0,96021.0
20140102:1300,6.74,80.38,80.0,0.0,80.0,307.5,1.5,155.0,96059.0
20140102:1400,7.14,80.07,28.0,0.0,28.0,307.45,1.79,156.0,96097.0
20140102:1500,6.6,82.79,15.0,0.0,15.0,304.48,1.61,153.0,96147.0
20140102:1600,6.05,85.52,0.0,-0.0,0.0,301.52,1.43,151.0,96198.0
20140102:1700,5.5,88.24,0.0,-0.0,0.0,298.55,1.24,148.0,96249.0
20140102:1800,4.84,88.23,0.0,-0.0,0.0,291.98,1.43,145.0,96268.0
20140102:1900,4.19,88.21,0.0,-0.0,0.0,285.42,1.61,142.0,96287.0
20140102:2000,3.53,88.2,0.0,-0.0,0.0,278.85,1.79,139.0,96305.0
20140102:2100,3.46,87.88,0.0,-0.0,0.0,273.33,2.0,141.0,96296.0
20140102:2200,3.39,87.56,0.0,-0.0,0.0,267.82,2.22,144.0,96287.0
20140102:2300,3.32,87.24,0.0,-0.0,0.0,262.3,2.43,147.0,96277.0
20140103:0000,3.24,86.43,0.0,-0.0,0.0,262.63,2.48,146.0,96280.0
20140103:0100,3.16,85.62,0.0,-0.0,0.0,262.97,2.54,144.0,96283.0
20140103:0200,3.08,84.81,0.0,-0.0,0.0,263.3,2.59,143.0,96287.0
20140103:0300,3.12,84.74,0.0,-0.0,0.0,261.43,2.74,144.0,96290.0
20140103:0400,3.16,84.67,0.0,-0.0,0.0,259.57,2.88,146.0,96293.0
20140103:0500,3.2,84.6,0.0,-0.0,0.0,257.7,3.02,148.0,96296.0
20140103:0600,4.17,82.12,0.0,-0.0,0.0,261.35,2.97,152.0,96334.0
20140103:0700,5.14,79.63,0.0,-0.0,0.0,265.0,2.91,156.0,96372.0
20140103:0800,6.12,77.15,51.0,0.0,51.0,268.65,2.86,160.0,96410.0
20140103:0900,6.94,75.05,164.0,265.48,102.0,276.68,2.5,163.0,96400.0
20140103:1000,7.76,72.94,183.0,121.2,146.0,284.72,2.14,166.0,96391.0
20140103:1100,8.58,70.84,171.0,53.45,153.0,292.75,1.78,170.0,96381.0
20140103:1200,8.72,70.65,209.0,159.59,157.0,290.88,1.73,168.0,96410.0
20140103:1300,8.85,70.46,126.0,36.6,116.0,289.02,1.69,167.0,96438.0
20140103:1400,8.98,70.27,51.0,0.0,51.0,287.15,1.64,166.0,96467.0
20140103:1500,8.53,73.37,17.0,16.69,16.0,274.77,1.69,161.0,96501.0
20140103:1600,8.08,76.48,0.0,-0.0,0.0,262.38,1.73,155.0,96536.0
20140103:1700,7.62,79.58,0.0,-0.0,0.0,250.0,1.78,150.0,96571.0
20140103:1800,7.23,80.31,0.0,-0.0,0.0,248.53,1.77,145.0,96590.0
20140103:1900,6.85,81.04,0.0,-0.0,0.0,247.07,1.76,141.0,96609.0
20140103:2000,6.46,81.77,0.0,-0.0,0.0,245.6,1.75,137.0,96628.0
20140103:2100,6.07,83.09,0.0,-0.0,0.0,244.93,1.94,129.0,96612.0
20140103:2200,5.68,84.42,0.0,-0.0,0.0,244.27,2.12,121.0,96596.0
20140103:2300,5.29,85.74,0.0,-0.0,0.0,243.6,2.3,113.0,96581.0
20140104:0000,5.11,86.52,0.0,-0.0,0.0,258.55,2.08,120.0,96539.0
20140104:0100,4.93,87.29,0.0,-0.0,0.0,273.5,1.85,126.0,96498.0
20140104:0200,4.76,88.07,0.0,-0.0,0.0,288.45,1.63,132.0,96457.0
20140104:0300,4.56,88.01,0.0,-0.0,0.0,294.33,1.69,134.0,96378.0
20140104:0400,4.37,87.95,0.0,-0.0,0.0,300.22,1.75,137.0,96299.0
20140104:0500,4.18,87.89,0.0,-0.0,0.0,306.1,1.81,139.0,96220.0
20140104:0600,5.16,85.92,0.0,-0.0,0.0,309.62,2.11,139.0,96147.0
20140104:0700,6.14,83.96,0.0,-0.0,0.0,313.13,2.41,140.0,96075.0
20140104:0800,7.12,81.99,35.0,0.0,35.0,316.65,2.72,140.0,96002.0
20140104:0900,7.78,80.47,51.0,0.0,51.0,317.4,2.34,142.0,95841.0
20140104:1000,8.45,78.96,66.0,0.0,66.0,318.15,1.97,143.0,95680.0
20140104:1100,9.11,77.44,75.0,0.0,75.0,318.9,1.6,144.0,95518.0
20140104:1200,8.47,78.51,36.0,0.0,36.0,316.78,1.16,146.0,95493.0
