B:Ln
47.221:9.72
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,0.89,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,93323.0
20140101:0100,0.55,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,93329.0
20140101:0200,0.21,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,93335.0
20140101:0300,-0.13,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,93335.0
20140101:0400,-0.48,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,93335.0
20140101:0500,-0.82,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,93335.0
20140101:0600,-1.16,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,93345.0
20140101:0700,-1.5,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,93354.0
20140101:0800,0.22,69.25,85.0,289.71,48.0,218.75,2.57,115.0,93363.0
20140101:0900,2.11,63.63,179.0,366.46,93.0,222.2,2.36,132.0,93305.0
20140101:1000,4.01,58.01,244.0,388.76,125.0,225.65,2.15,149.0,93247.0
20140101:1100,5.9,52.39,268.0,373.76,142.0,229.1,1.94,166.0,93189.0
20140101:1200,5.27,57.07,276.0,476.05,121.0,229.4,2.11,166.0,93161.0
20140101:1300,4.64,61.75,228.0,492.03,94.0,229.7,2.27,166.0,93134.0
20140101:1400,4.01,66.43,151.0,574.66,47.0,230.0,2.43,166.0,93106.0
20140101:1500,3.14,67.64,17.0,0.0,17.0,229.05,2.74,163.0,93109.0
20140101:1600,2.28,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,93112.0
20140101:1700,1.42,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,93115.0
20140101:1800,0.6,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,93103.0
20140101:1900,-0.21,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,93091.0
20140101:2000,-1.03,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,93079.0
20140101:2100,-1.17,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,93015.0
20140101:2200,-1.31,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,92950.0
20140101:2300,-1.45,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,92886.0
20140102:0000,-1.8,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,92865.0
20140102:0100,-2.15,62.68,0.0,-0.0,0.0,270.58,4.19,154.0,92843.0
20140102:0200,-2.5,63.55,0.0,-0.0,0.0,277.85,4.22,154.0,92822.0
20140102:0300,-2.29,65.81,0.0,-0.0,0.0,282.5,4.2,154.0,92782.0
20140102:0400,-2.07,68.08,0.0,-0.0,0.0,287.15,4.18,154.0,92743.0
20140102:0500,-1.86,70.34,0.0,-0.0,0.0,291.8,4.17,153.0,92703.0
20140102:0600,-1.28,72.83,0.0,-0.0,0.0,294.2,3.94,155.0,92724.0
20140102:0700,-0.7,75.33,0.0,-0.0,0.0,296.6,3.71,156.0,92746.0
20140102:0800,-0.12,77.82,51.0,31.23,47.0,299.0,3.48,157.0,92767.0
20140102:0900,0.35,78.88,93.0,17.0,89.0,301.87,2.87,156.0,92773.0
20140102:1000,0.83,79.94,82.0,0.0,82.0,304.73,2.27,156.0,92779.0
20140102:1100,1.3,81.0,142.0,14.77,137.0,307.6,1.67,155.0,92785.0
20140102:1200,1.81,80.69,74.0,0.0,74.0,307.55,1.91,155.0,92822.0
20140102:1300,2.31,80.38,26.0,0.0,26.0,307.5,2.15,155.0,92859.0
20140102:1400,2.82,80.07,48.0,0.0,48.0,307.45,2.39,156.0,92895.0
20140102:1500,2.92,82.79,16.0,0.0,16.0,304.48,2.12,153.0,92944.0
20140102:1600,3.03,85.52,0.0,-0.0,0.0,301.52,1.85,151.0,92993.0
20140102:1700,3.14,88.24,0.0,-0.0,0.0,298.55,1.59,148.0,93042.0
20140102:1800,2.69,88.23,0.0,-0.0,0.0,291.98,1.87,145.0,93060.0
20140102:1900,2.25,88.21,0.0,-0.0,0.0,285.42,2.15,142.0,93079.0
20140102:2000,1.8,88.2,0.0,-0.0,0.0,278.85,2.43,139.0,93097.0
20140102:2100,1.53,87.88,0.0,-0.0,0.0,273.33,2.7,141.0,93088.0
20140102:2200,1.25,87.56,0.0,-0.0,0.0,267.82,2.98,144.0,93079.0
20140102:2300,0.97,87.24,0.0,-0.0,0.0,262.3,3.26,147.0,93070.0
20140103:0000,0.89,86.43,0.0,-0.0,0.0,262.63,3.43,146.0,93073.0
20140103:0100,0.81,85.62,0.0,-0.0,0.0,262.97,3.6,144.0,93076.0
20140103:0200,0.73,84.81,0.0,-0.0,0.0,263.3,3.77,143.0,93079.0
20140103:0300,0.69,84.74,0.0,-0.0,0.0,261.43,3.83,144.0,93082.0
20140103:0400,0.65,84.67,0.0,-0.0,0.0,259.57,3.89,146.0,93085.0
20140103:0500,0.61,84.6,0.0,-0.0,0.0,257.7,3.96,148.0,93088.0
20140103:0600,1.16,82.12,0.0,-0.0,0.0,261.35,3.88,152.0,93125.0
20140103:0700,1.7,79.63,0.0,-0.0,0.0,265.0,3.79,156.0,93161.0
20140103:0800,2.24,77.15,66.0,108.9,52.0,268.65,3.71,160.0,93198.0
20140103:0900,2.8,75.05,98.0,21.17,93.0,276.68,3.29,163.0,93189.0
20140103:1000,3.36,72.94,187.0,129.77,147.0,284.72,2.86,166.0,93180.0
20140103:1100,3.92,70.84,111.0,0.0,111.0,292.75,2.44,170.0,93170.0
20140103:1200,4.23,70.65,141.0,18.24,135.0,290.88,2.51,168.0,93198.0
20140103:1300,4.55,70.46,151.0,86.87,127.0,289.02,2.57,167.0,93225.0
20140103:1400,4.86,70.27,78.0,32.38,72.0,287.15,2.63,166.0,93253.0
20140103:1500,4.69,73.37,19.0,0.0,19.0,274.77,2.61,161.0,93287.0
20140103:1600,4.52,76.48,0.0,-0.0,0.0,262.38,2.59,155.0,93320.0
20140103:1700,4.35,79.58,0.0,-0.0,0.0,250.0,2.57,150.0,93354.0
20140103:1800,3.93,80.31,0.0,-0.0,0.0,248.53,2.42,145.0,93372.0
20140103:1900,3.52,81.04,0.0,-0.0,0.0,247.07,2.27,141.0,93390.0
20140103:2000,3.1,81.77,0.0,-0.0,0.0,245.6,2.12,137.0,93409.0
20140103:2100,2.8,83.09,0.0,-0.0,0.0,244.93,2.32,129.0,93394.0
20140103:2200,2.5,84.42,0.0,-0.0,0.0,244.27,2.52,121.0,93378.0
20140103:2300,2.19,85.74,0.0,-0.0,0.0,243.6,2.72,113.0,93363.0
20140104:0000,2.37,86.52,0.0,-0.0,0.0,258.55,2.67,120.0,93323.0
20140104:0100,2.54,87.29,0.0,-0.0,0.0,273.5,2.62,126.0,93284.0
20140104:0200,2.72,88.07,0.0,-0.0,0.0,288.45,2.57,132.0,93244.0
20140104:0300,2.29,88.01,0.0,-0.0,0.0,294.33,2.75,134.0,93167.0
20140104:0400,1.86,87.95,0.0,-0.0,0.0,300.22,2.93,137.0,93091.0
20140104:0500,1.42,87.89,0.0,-0.0,0.0,306.1,3.12,139.0,93015.0
20140104:0600,1.74,85.92,0.0,-0.0,0.0,309.62,2.97,139.0,92944.0
20140104:0700,2.05,83.96,0.0,-0.0,0.0,313.13,2.81,140.0,92874.0
20140104:0800,2.37,81.99,17.0,0.0,17.0,316.65,2.66,140.0,92804.0
20140104:0900,2.85,80.47,55.0,0.0,55.0,317.4,2.46,142.0,92648.0
20140104:1000,3.32,78.96,94.0,0.0,94.0,318.15,2.27,143.0,92492.0
20140104:1100,3.8,77.44,67.0,0.0,67.0,318.9,2.07,144.0,92336.0
20140104:1200,3.52,78.51,62.0,0.0,62.0,316.78,1.87,146.0,92312.0
20140104:1300,3.24,79.58,87.0,0.0,87.0,314.67,1.66,148.0,92287.0
20140104:1400,2.96,80.65,47.0,0.0,47.0,312.55,1.46,150.0,92263.0
20140104:1500,3.07,82.24,10.0,0.0,10.0,314.53,1.14,150.0,92226.0
20140104:1600,3.18,83.82,0.0,-0.0,0.0,316.52,0.83,150.0,92190.0
20140104:1700,3.29,85.41,0.0,-0.0,0.0,318.5,0.51,150.0,92153.0
20140104:1800,3.09,84.93,0.0,-0.0,0.0,320.13,1.1,148.0,92116.0
20140104:1900,2.89,84.44,0.0,-0.0,0.0,321.77,1.7,146.0,92080.0
20140104:2000,2.69,83.96,0.0,-0.0,0.0,323.4,2.29,145.0,92043.0
20140104:2100,2.61,84.2,0.0,-0.0,0.0,322.43,2.29,143.0,91957.0
20140104:2200,2.52,84.45,0.0,-0.0,0.0,321.47,2.29,142.0,91872.0
20140104:2300,2.43,84.69,0.0,-0.0,0.0,320.5,2.29,141.0,91786.0
20140105:0000,2.86,86.44,0.0,-0.0,0.0,320.73,1.75,145.0,91872.0
20140105:0100,3.29,88.19,0.0,-0.0,0.0,320.97,1.21,150.0,91957.0
20140105:0200,3.72,89.94,0.0,-0.0,0.0,321.2,0.68,154.0,92043.0
20140105:0300,3.45,92.89,0.0,-0.0,0.0,322.5,0.9,102.0,92125.0
20140105:0400,3.18,95.84,0.0,-0.0,0.0,323.8,1.12,50.0,92208.0
20140105:0500,2.9,98.79,0.0,-0.0,0.0,325.1,1.34,357.0,92290.0
20140105:0600,3.01,98.88,0.0,-0.0,0.0,325.62,1.18,353.0,92410.0
20140105:0700,3.11,98.97,0.0,-0.0,0.0,326.13,1.03,349.0,92529.0
20140105:0800,3.21,99.06,21.0,0.0,21.0,326.65,0.87,345.0,92648.0
20140105:0900,3.33,97.66,59.0,0.0,59.0,325.43,0.89,348.0,92712.0
20140105:1000,3.45,96.25,73.0,0.0,73.0,324.22,0.91,351.0,92776.0
20140105:1100,3.57,94.85,208.0,122.39,166.0,323.0,0.92,354.0,92840.0
