B:Ln
47.226:9.726
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,-0.64,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,90600.0
20140101:0100,-0.99,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,90606.0
20140101:0200,-1.33,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,90612.0
20140101:0300,-1.67,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,90612.0
20140101:0400,-2.01,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,90612.0
20140101:0500,-2.35,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,90612.0
20140101:0600,-2.69,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,90621.0
20140101:0700,-3.03,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,90630.0
20140101:0800,-1.4,69.25,85.0,289.74,48.0,218.75,2.57,115.0,90639.0
20140101:0900,0.46,63.63,179.0,366.52,93.0,222.2,2.36,132.0,90582.0
20140101:1000,2.31,58.01,244.0,388.84,125.0,225.65,2.15,149.0,90526.0
20140101:1100,4.17,52.39,268.0,373.85,142.0,229.1,1.94,166.0,90469.0
20140101:1200,3.55,57.07,276.0,476.19,121.0,229.4,2.11,166.0,90443.0
20140101:1300,2.93,61.75,228.0,492.22,94.0,229.7,2.27,166.0,90416.0
20140101:1400,2.32,66.43,151.0,575.01,47.0,230.0,2.43,166.0,90389.0
20140101:1500,1.47,67.64,17.0,0.0,17.0,229.05,2.74,163.0,90392.0
20140101:1600,0.63,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,90395.0
20140101:1700,-0.21,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,90398.0
20140101:1800,-0.98,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,90386.0
20140101:1900,-1.76,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,90375.0
20140101:2000,-2.54,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,90363.0
20140101:2100,-2.71,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,90300.0
20140101:2200,-2.89,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,90238.0
20140101:2300,-3.06,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,90176.0
20140102:0000,-3.39,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,90155.0
20140102:0100,-3.72,62.68,0.0,-0.0,0.0,270.58,4.19,154.0,90134.0
20140102:0200,-4.04,63.55,0.0,-0.0,0.0,277.85,4.22,154.0,90113.0
20140102:0300,-3.8,65.81,0.0,-0.0,0.0,282.5,4.2,154.0,90075.0
20140102:0400,-3.56,68.08,0.0,-0.0,0.0,287.15,4.18,154.0,90036.0
20140102:0500,-3.33,70.34,0.0,-0.0,0.0,291.8,4.17,153.0,89998.0
20140102:0600,-2.8,72.83,0.0,-0.0,0.0,294.2,3.94,155.0,90019.0
20140102:0700,-2.27,75.33,0.0,-0.0,0.0,296.6,3.71,156.0,90039.0
20140102:0800,-1.74,77.82,51.0,31.23,47.0,299.0,3.48,157.0,90060.0
20140102:0900,-1.3,78.88,93.0,17.0,89.0,301.87,2.87,156.0,90066.0
20140102:1000,-0.87,79.94,82.0,0.0,82.0,304.73,2.27,156.0,90072.0
20140102:1100,-0.43,81.0,142.0,14.78,137.0,307.6,1.67,155.0,90078.0
20140102:1200,0.09,80.69,74.0,0.0,74.0,307.55,1.91,155.0,90113.0
20140102:1300,0.61,80.38,26.0,0.0,26.0,307.5,2.15,155.0,90149.0
20140102:1400,1.13,80.07,48.0,0.0,48.0,307.45,2.39,156.0,90185.0
20140102:1500,1.25,82.79,16.0,0.0,16.0,304.48,2.12,153.0,90232.0
20140102:1600,1.38,85.52,0.0,-0.0,0.0,301.52,1.85,151.0,90280.0
20140102:1700,1.51,88.24,0.0,-0.0,0.0,298.55,1.59,148.0,90327.0
20140102:1800,1.11,88.23,0.0,-0.0,0.0,291.98,1.87,145.0,90345.0
20140102:1900,0.7,88.21,0.0,-0.0,0.0,285.42,2.15,142.0,90363.0
