B:Ln
47.238:9.597
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.8,80.44,0.0,-0.0,0.0,218.27,2.39,149.0,96343.0
20140101:0100,1.44,79.35,0.0,-0.0,0.0,218.2,2.54,143.0,96349.0
20140101:0200,1.08,78.27,0.0,-0.0,0.0,218.14,2.7,137.0,96356.0
20140101:0300,0.72,77.18,0.0,-0.0,0.0,218.07,2.85,125.0,96356.0
20140101:0400,0.36,76.1,0.0,-0.0,0.0,218.0,3.0,113.0,96356.0
20140101:0500,-0.01,75.02,0.0,-0.0,0.0,217.94,3.16,101.0,96356.0
20140101:0600,-0.37,73.93,0.0,-0.0,0.0,217.87,3.31,106.0,96365.0
20140101:0700,-0.73,72.85,0.0,-0.0,0.0,217.81,3.46,110.0,96375.0
20140101:0800,1.0,69.25,42.0,0.0,42.0,218.75,2.81,115.0,96384.0
20140101:0900,2.98,63.63,182.0,393.68,90.0,222.2,2.55,132.0,96324.0
20140101:1000,4.96,58.01,259.0,487.88,110.0,225.65,2.28,149.0,96264.0
20140101:1100,6.94,52.39,278.0,427.62,134.0,229.1,2.01,166.0,96204.0
20140101:1200,6.31,57.07,298.0,623.49,95.0,229.4,2.22,166.0,96176.0
20140101:1300,5.68,61.75,239.0,579.43,81.0,229.7,2.42,166.0,96147.0
20140101:1400,5.05,66.43,152.0,572.57,48.0,230.0,2.62,166.0,96119.0
20140101:1500,4.17,67.64,19.0,0.0,19.0,229.05,2.91,163.0,96122.0
20140101:1600,3.29,68.86,0.0,-0.0,0.0,228.1,3.21,159.0,96125.0
20140101:1700,2.41,70.07,0.0,-0.0,0.0,227.15,3.5,156.0,96128.0
20140101:1800,1.52,67.83,0.0,-0.0,0.0,229.03,3.64,155.0,96116.0
20140101:1900,0.64,65.58,0.0,-0.0,0.0,230.92,3.77,154.0,96103.0
20140101:2000,-0.25,63.34,0.0,-0.0,0.0,232.8,3.9,153.0,96091.0
20140101:2100,-0.36,62.54,0.0,-0.0,0.0,240.55,3.97,153.0,96024.0
