B:Ln
47.247:9.909
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,-2.7,80.44,0.0,-0.0,0.0,218.27,1.34,149.0,89322.0
20140101:0100,-3.13,79.35,0.0,-0.0,0.0,218.2,1.35,143.0,89328.0
20140101:0200,-3.55,78.27,0.0,-0.0,0.0,218.14,1.36,137.0,89334.0
20140101:0300,-3.98,77.18,0.0,-0.0,0.0,218.07,1.38,125.0,89334.0
20140101:0400,-4.4,76.1,0.0,-0.0,0.0,218.0,1.39,113.0,89334.0
20140101:0500,-4.83,75.02,0.0,-0.0,0.0,217.94,1.4,101.0,89334.0
20140101:0600,-5.25,73.93,0.0,-0.0,0.0,217.87,1.42,106.0,89343.0
20140101:0700,-5.68,72.85,0.0,-0.0,0.0,217.81,1.43,110.0,89352.0
20140101:0800,-3.19,69.25,47.0,0.0,47.0,218.75,1.5,115.0,89360.0
20140101:0900,-0.88,63.63,193.0,471.47,82.0,222.2,1.53,132.0,89305.0
20140101:1000,1.43,58.01,286.0,682.25,77.0,225.65,1.55,149.0,89249.0
20140101:1100,3.74,52.39,320.0,700.7,84.0,229.1,1.57,166.0,89194.0
20140101:1200,3.15,57.07,303.0,665.11,87.0,229.4,1.78,166.0,89167.0
20140101:1300,2.55,61.75,211.0,376.35,109.0,229.7,1.99,166.0,89141.0
20140101:1400,1.96,66.43,112.0,195.25,77.0,230.0,2.19,166.0,89115.0
20140101:1500,1.29,67.64,13.0,0.0,13.0,229.05,2.51,163.0,89118.0
20140101:1600,0.63,68.86,0.0,-0.0,0.0,228.1,2.84,159.0,89121.0
20140101:1700,-0.04,70.07,0.0,-0.0,0.0,227.15,3.16,156.0,89124.0
20140101:1800,-1.0,67.83,0.0,-0.0,0.0,229.03,3.29,155.0,89112.0
20140101:1900,-1.95,65.58,0.0,-0.0,0.0,230.92,3.43,154.0,89100.0
20140101:2000,-2.91,63.34,0.0,-0.0,0.0,232.8,3.56,153.0,89088.0
20140101:2100,-3.4,62.54,0.0,-0.0,0.0,240.55,3.52,153.0,89027.0
20140101:2200,-3.89,61.75,0.0,-0.0,0.0,248.3,3.49,154.0,88966.0
20140101:2300,-4.38,60.95,0.0,-0.0,0.0,256.05,3.45,154.0,88904.0
20140102:0000,-4.92,61.82,0.0,-0.0,0.0,263.32,3.54,154.0,88884.0
20140102:0100,-5.47,62.68,0.0,-0.0,0.0,270.58,3.63,154.0,88863.0
20140102:0200,-6.02,63.55,0.0,-0.0,0.0,277.85,3.72,154.0,88843.0
20140102:0300,-5.73,65.81,0.0,-0.0,0.0,282.5,3.7,154.0,88805.0
20140102:0400,-5.43,68.08,0.0,-0.0,0.0,287.15,3.68,154.0,88767.0
20140102:0500,-5.14,70.34,0.0,-0.0,0.0,291.8,3.66,153.0,88729.0
20140102:0600,-4.44,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,88749.0
20140102:0700,-3.74,75.33,0.0,-0.0,0.0,296.6,3.2,156.0,88770.0
20140102:0800,-3.04,77.82,23.0,0.0,23.0,299.0,2.97,157.0,88790.0
20140102:0900,-2.57,78.88,37.0,0.0,37.0,301.87,2.5,156.0,88796.0
20140102:1000,-2.11,79.94,76.0,0.0,76.0,304.73,2.03,156.0,88802.0
20140102:1100,-1.65,81.0,142.0,14.79,137.0,307.6,1.56,155.0,88808.0
20140102:1200,-1.03,80.69,124.0,6.13,122.0,307.55,1.71,155.0,88843.0
20140102:1300,-0.41,80.38,86.0,0.0,86.0,307.5,1.86,155.0,88878.0
20140102:1400,0.21,80.07,50.0,0.0,50.0,307.45,2.01,156.0,88913.0
20140102:1500,0.13,82.79,3.0,0.0,3.0,304.48,1.69,153.0,88960.0
20140102:1600,0.06,85.52,0.0,-0.0,0.0,301.52,1.36,151.0,89007.0
20140102:1700,-0.02,88.24,0.0,-0.0,0.0,298.55,1.03,148.0,89053.0
20140102:1800,-0.47,88.23,0.0,-0.0,0.0,291.98,1.28,145.0,89071.0
20140102:1900,-0.91,88.21,0.0,-0.0,0.0,285.42,1.52,142.0,89088.0
20140102:2000,-1.36,88.2,0.0,-0.0,0.0,278.85,1.77,139.0,89106.0
20140102:2100,-1.57,87.88,0.0,-0.0,0.0,273.33,2.06,141.0,89097.0
20140102:2200,-1.78,87.56,0.0,-0.0,0.0,267.82,2.35,144.0,89088.0
20140102:2300,-1.99,87.24,0.0,-0.0,0.0,262.3,2.65,147.0,89080.0
20140103:0000,-1.94,86.43,0.0,-0.0,0.0,262.63,2.8,146.0,89083.0
20140103:0100,-1.9,85.62,0.0,-0.0,0.0,262.97,2.95,144.0,89086.0
20140103:0200,-1.86,84.81,0.0,-0.0,0.0,263.3,3.1,143.0,89088.0
20140103:0300,-1.68,84.74,0.0,-0.0,0.0,261.43,3.18,144.0,89091.0
20140103:0400,-1.5,84.67,0.0,-0.0,0.0,259.57,3.25,146.0,89094.0
20140103:0500,-1.32,84.6,0.0,-0.0,0.0,257.7,3.32,148.0,89097.0
20140103:0600,-0.62,82.12,0.0,-0.0,0.0,261.35,3.21,152.0,89132.0
20140103:0700,0.08,79.63,0.0,-0.0,0.0,265.0,3.1,156.0,89167.0
20140103:0800,0.77,77.15,54.0,0.0,54.0,268.65,2.99,160.0,89203.0
20140103:0900,1.07,75.05,134.0,105.53,109.0,276.68,2.64,163.0,89194.0
20140103:1000,1.36,72.94,260.0,473.3,114.0,284.72,2.29,166.0,89185.0
20140103:1100,1.65,70.84,192.0,88.34,162.0,292.75,1.94,170.0,89176.0
20140103:1200,1.91,70.65,250.0,316.91,146.0,290.88,1.97,168.0,89203.0
20140103:1300,2.17,70.46,277.0,923.76,23.0,289.02,2.0,167.0,89229.0
20140103:1400,2.43,70.27,161.0,680.83,36.0,287.15,2.03,166.0,89255.0
20140103:1500,1.92,73.37,4.0,0.0,4.0,274.77,2.09,161.0,89287.0
20140103:1600,1.42,76.48,0.0,-0.0,0.0,262.38,2.15,155.0,89320.0
20140103:1700,0.91,79.58,0.0,-0.0,0.0,250.0,2.21,150.0,89352.0
20140103:1800,0.39,80.31,0.0,-0.0,0.0,248.53,1.98,145.0,89369.0
20140103:1900,-0.13,81.04,0.0,-0.0,0.0,247.07,1.75,141.0,89387.0
20140103:2000,-0.65,81.77,0.0,-0.0,0.0,245.6,1.52,137.0,89404.0
20140103:2100,-0.99,83.09,0.0,-0.0,0.0,244.93,1.62,129.0,89390.0
20140103:2200,-1.33,84.42,0.0,-0.0,0.0,244.27,1.73,121.0,89375.0
20140103:2300,-1.68,85.74,0.0,-0.0,0.0,243.6,1.83,113.0,89360.0
20140104:0000,-1.08,86.52,0.0,-0.0,0.0,258.55,1.87,120.0,89322.0
20140104:0100,-0.49,87.29,0.0,-0.0,0.0,273.5,1.9,126.0,89284.0
20140104:0200,0.11,88.07,0.0,-0.0,0.0,288.45,1.93,132.0,89246.0
20140104:0300,-0.15,88.01,0.0,-0.0,0.0,294.33,2.27,134.0,89173.0
20140104:0400,-0.42,87.95,0.0,-0.0,0.0,300.22,2.6,137.0,89100.0
