B:Ln
47.315:9.675
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.51,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,92416.0
20140101:0100,0.92,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,92422.0
20140101:0200,0.32,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,92428.0
20140101:0300,-0.27,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,92428.0
20140101:0400,-0.87,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,92428.0
20140101:0500,-1.46,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,92428.0
20140101:0600,-2.06,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,92437.0
20140101:0700,-2.65,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,92446.0
20140101:0800,-0.05,69.25,43.0,0.0,43.0,218.75,2.43,115.0,92455.0
20140101:0900,1.88,63.63,159.0,240.28,103.0,222.2,2.2,132.0,92398.0
20140101:1000,3.81,58.01,259.0,486.1,111.0,225.65,1.98,149.0,92340.0
20140101:1100,5.74,52.39,316.0,676.52,89.0,229.1,1.75,166.0,92283.0
20140101:1200,5.16,57.07,288.0,561.44,106.0,229.4,1.93,166.0,92255.0
20140101:1300,4.57,61.75,262.0,800.37,45.0,229.7,2.11,166.0,92228.0
20140101:1400,3.99,66.43,137.0,416.61,62.0,230.0,2.29,166.0,92201.0
20140101:1500,3.34,67.64,27.0,175.21,17.0,229.05,2.68,163.0,92204.0
20140101:1600,2.68,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,92207.0
20140101:1700,2.03,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,92210.0
20140101:1800,1.65,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,92198.0
20140101:1900,1.27,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,92186.0
20140101:2000,0.89,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,92174.0
20140101:2100,0.85,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,92110.0
20140101:2200,0.8,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,92046.0
20140101:2300,0.75,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,91983.0
20140102:0000,0.42,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,91962.0
20140102:0100,0.08,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,91941.0
20140102:0200,-0.25,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,91919.0
20140102:0300,-0.1,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,91880.0
20140102:0400,0.05,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,91841.0
20140102:0500,0.2,70.34,0.0,-0.0,0.0,291.8,3.79,153.0,91801.0
20140102:0600,0.47,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,91823.0
20140102:0700,0.74,75.33,0.0,-0.0,0.0,296.6,3.07,156.0,91844.0
20140102:0800,1.02,77.82,38.0,0.0,38.0,299.0,2.7,157.0,91865.0
20140102:0900,1.51,78.88,58.0,0.0,58.0,301.87,2.21,156.0,91871.0
20140102:1000,2.01,79.94,51.0,0.0,51.0,304.73,1.71,156.0,91877.0
20140102:1100,2.5,81.0,99.0,0.0,99.0,307.6,1.21,155.0,91883.0
20140102:1200,2.9,80.69,113.0,3.07,112.0,307.55,1.59,155.0,91919.0
20140102:1300,3.29,80.38,52.0,0.0,52.0,307.5,1.97,155.0,91956.0
20140102:1400,3.68,80.07,21.0,0.0,21.0,307.45,2.34,156.0,91992.0
20140102:1500,3.18,82.79,7.0,0.0,7.0,304.48,2.0,153.0,92040.0
20140102:1600,2.69,85.52,0.0,-0.0,0.0,301.52,1.66,151.0,92089.0
20140102:1700,2.19,88.24,0.0,-0.0,0.0,298.55,1.31,148.0,92137.0
20140102:1800,1.62,88.23,0.0,-0.0,0.0,291.98,1.55,145.0,92155.0
20140102:1900,1.05,88.21,0.0,-0.0,0.0,285.42,1.8,142.0,92174.0
20140102:2000,0.47,88.2,0.0,-0.0,0.0,278.85,2.04,139.0,92192.0
20140102:2100,0.32,87.88,0.0,-0.0,0.0,273.33,2.24,141.0,92183.0
20140102:2200,0.16,87.56,0.0,-0.0,0.0,267.82,2.44,144.0,92174.0
