B:Ln
46.987:10.026
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-6.68,83.89,0.0,-0.0,0.0,231.77,0.67,358.0,92365.0
20150101:0100,-6.71,84.45,0.0,-0.0,0.0,228.09,0.73,358.0,92348.0
20150101:0200,-6.74,85.01,0.0,-0.0,0.0,224.41,0.78,358.0,92330.0
20150101:0300,-6.76,85.56,0.0,-0.0,0.0,220.73,0.84,358.0,92309.0
20150101:0400,-6.79,86.12,0.0,-0.0,0.0,217.05,0.89,358.0,92288.0
20150101:0500,-6.82,86.68,0.0,-0.0,0.0,213.37,0.95,358.0,92268.0
20150101:0600,-6.85,87.24,0.0,-0.0,0.0,209.69,1.0,358.0,92262.0
20150101:0700,-6.88,87.8,0.0,-0.0,0.0,206.01,1.06,357.0,92256.0
20150101:0800,-3.22,80.21,45.0,0.0,45.0,220.75,0.57,357.0,92250.0
20150101:0900,-0.95,74.87,29.0,0.0,29.0,222.87,0.44,354.0,92223.0
20150101:1000,1.32,69.52,28.0,0.0,28.0,224.98,0.32,351.0,92196.0
20150101:1100,3.59,64.18,31.0,0.0,31.0,227.1,0.19,348.0,92170.0
20150101:1200,3.25,68.92,29.0,0.0,29.0,229.45,0.36,348.0,92184.0
20150101:1300,2.92,73.65,24.0,0.0,24.0,231.8,0.53,349.0,92199.0
20150101:1400,2.58,78.39,14.0,0.0,14.0,234.15,0.7,350.0,92214.0
20150101:1500,1.16,79.67,3.0,0.0,3.0,233.15,0.59,348.0,92184.0
20150101:1600,-0.27,80.95,0.0,-0.0,0.0,232.15,0.47,347.0,92155.0
20150101:1700,-1.69,82.23,0.0,-0.0,0.0,231.15,0.36,346.0,92125.0
20150101:1800,-2.49,83.38,0.0,-0.0,0.0,231.05,0.39,343.0,92116.0
20150101:1900,-3.3,84.52,0.0,-0.0,0.0,230.95,0.41,340.0,92107.0
20150101:2000,-4.1,85.67,0.0,-0.0,0.0,230.85,0.44,337.0,92098.0
20150101:2100,-4.25,86.43,0.0,-0.0,0.0,230.42,0.66,333.0,92036.0
20150101:2200,-4.41,87.19,0.0,-0.0,0.0,229.98,0.87,328.0,91974.0
20150101:2300,-4.56,87.95,0.0,-0.0,0.0,229.55,1.09,324.0,91911.0
20150102:0000,-4.41,86.65,0.0,-0.0,0.0,229.6,1.05,323.0,91932.0
20150102:0100,-4.26,85.35,0.0,-0.0,0.0,229.65,1.02,321.0,91953.0
20150102:0200,-4.1,84.05,0.0,-0.0,0.0,229.7,0.98,320.0,91974.0
20150102:0300,-4.02,83.64,0.0,-0.0,0.0,229.37,1.01,321.0,91914.0
20150102:0400,-3.94,83.22,0.0,-0.0,0.0,229.03,1.03,322.0,91855.0
20150102:0500,-3.85,82.81,0.0,-0.0,0.0,228.7,1.06,324.0,91796.0
20150102:0600,-2.72,77.87,0.0,-0.0,0.0,228.63,1.07,324.0,91787.0
20150102:0700,-1.59,72.93,0.0,-0.0,0.0,228.57,1.08,325.0,91778.0
20150102:0800,-0.46,67.99,18.0,0.0,18.0,228.5,1.09,326.0,91769.0
20150102:0900,1.53,64.9,87.0,8.31,85.0,233.52,1.12,323.0,91754.0
20150102:1000,3.51,61.8,204.0,166.75,152.0,238.53,1.14,319.0,91739.0
20150102:1100,5.49,58.71,54.0,0.0,54.0,243.55,1.17,316.0,91724.0
20150102:1200,5.02,63.4,30.0,0.0,30.0,248.45,1.07,320.0,91757.0
20150102:1300,4.54,68.09,129.0,0.0,129.0,253.35,0.96,325.0,91790.0
20150102:1400,4.07,72.78,79.0,0.0,79.0,258.25,0.86,330.0,91822.0
20150102:1500,3.13,74.66,11.0,0.0,11.0,264.08,0.97,330.0,91864.0
20150102:1600,2.19,76.54,0.0,-0.0,0.0,269.92,1.09,331.0,91905.0
20150102:1700,1.25,78.42,0.0,-0.0,0.0,275.75,1.21,332.0,91947.0
20150102:1800,1.08,81.16,0.0,-0.0,0.0,275.35,1.27,333.0,92042.0
20150102:1900,0.92,83.9,0.0,-0.0,0.0,274.95,1.33,334.0,92137.0
20150102:2000,0.75,86.64,0.0,-0.0,0.0,274.55,1.39,336.0,92232.0
20150102:2100,0.44,88.01,0.0,-0.0,0.0,267.0,1.54,337.0,92241.0
20150102:2200,0.14,89.38,0.0,-0.0,0.0,259.45,1.69,338.0,92250.0
20150102:2300,-0.17,90.75,0.0,-0.0,0.0,251.9,1.83,339.0,92259.0
20150103:0000,0.0,90.01,0.0,-0.0,0.0,249.73,1.45,338.0,92223.0
20150103:0100,0.18,89.26,0.0,-0.0,0.0,247.57,1.07,338.0,92187.0
20150103:0200,0.36,88.52,0.0,-0.0,0.0,245.4,0.69,338.0,92152.0
20150103:0300,0.15,90.03,0.0,-0.0,0.0,245.33,0.78,339.0,92110.0
20150103:0400,-0.06,91.54,0.0,-0.0,0.0,245.27,0.86,340.0,92069.0
20150103:0500,-0.26,93.05,0.0,-0.0,0.0,245.2,0.95,341.0,92027.0
20150103:0600,0.24,91.48,0.0,-0.0,0.0,246.13,1.11,338.0,91953.0
20150103:0700,0.75,89.92,0.0,-0.0,0.0,247.07,1.26,335.0,91879.0
20150103:0800,1.25,88.35,56.0,0.0,56.0,248.0,1.42,332.0,91804.0
20150103:0900,2.35,83.44,55.0,0.0,55.0,253.57,1.45,317.0,91683.0
20150103:1000,3.45,78.54,28.0,0.0,28.0,259.13,1.49,302.0,91561.0
20150103:1100,4.54,73.63,31.0,0.0,31.0,264.7,1.52,288.0,91439.0
20150103:1200,4.68,72.35,30.0,0.0,30.0,262.75,1.87,270.0,91261.0
20150103:1300,4.83,71.08,24.0,0.0,24.0,260.8,2.23,252.0,91083.0
20150103:1400,4.97,69.8,57.0,0.0,57.0,258.85,2.58,234.0,90905.0
20150103:1500,4.0,75.37,5.0,0.0,5.0,257.25,2.44,256.0,90926.0
20150103:1600,3.04,80.93,0.0,-0.0,0.0,255.65,2.29,278.0,90947.0
20150103:1700,2.07,86.5,0.0,-0.0,0.0,254.05,2.15,299.0,90967.0
20150103:1800,1.75,89.62,0.0,-0.0,0.0,261.02,2.13,300.0,90908.0
20150103:1900,1.44,92.74,0.0,-0.0,0.0,267.98,2.11,300.0,90849.0
20150103:2000,1.12,95.86,0.0,-0.0,0.0,274.95,2.1,300.0,90789.0
20150103:2100,0.42,97.12,0.0,-0.0,0.0,264.77,2.53,303.0,90789.0
20150103:2200,-0.28,98.38,0.0,-0.0,0.0,254.58,2.97,307.0,90789.0
20150103:2300,-0.98,99.64,0.0,-0.0,0.0,244.4,3.41,310.0,90789.0
20150104:0000,-0.82,99.68,0.0,-0.0,0.0,243.38,3.02,316.0,90947.0
20150104:0100,-0.66,99.72,0.0,-0.0,0.0,242.37,2.63,322.0,91104.0
20150104:0200,-0.49,99.76,0.0,-0.0,0.0,241.35,2.23,329.0,91261.0
20150104:0300,-0.67,99.61,0.0,-0.0,0.0,240.85,2.02,330.0,91347.0
20150104:0400,-0.84,99.47,0.0,-0.0,0.0,240.35,1.8,332.0,91433.0
20150104:0500,-1.01,99.32,0.0,-0.0,0.0,239.85,1.59,333.0,91520.0
20150104:0600,-0.35,97.7,0.0,-0.0,0.0,239.5,1.78,332.0,91623.0
20150104:0700,0.32,96.08,0.0,-0.0,0.0,239.15,1.97,330.0,91727.0
20150104:0800,0.99,94.46,56.0,0.0,56.0,238.8,2.17,329.0,91831.0
20150104:0900,1.09,91.25,98.0,16.51,94.0,237.53,2.06,329.0,91879.0
20150104:1000,1.19,88.03,174.0,76.38,150.0,236.27,1.95,330.0,91926.0
20150104:1100,1.29,84.82,181.0,54.99,162.0,235.0,1.85,331.0,91974.0
20150104:1200,0.48,79.89,30.0,0.0,30.0,233.55,1.86,332.0,92033.0
20150104:1300,-0.32,74.95,120.0,0.0,120.0,232.1,1.88,334.0,92092.0
20150104:1400,-1.13,70.02,63.0,0.0,63.0,230.65,1.89,336.0,92152.0
20150104:1500,-2.6,78.07,10.0,0.0,10.0,225.43,2.12,335.0,92247.0
20150104:1600,-4.08,86.12,0.0,-0.0,0.0,220.22,2.36,335.0,92342.0
20150104:1700,-5.55,94.17,0.0,-0.0,0.0,215.0,2.59,335.0,92437.0
20150104:1800,-5.91,94.34,0.0,-0.0,0.0,213.82,2.46,333.0,92475.0
20150104:1900,-6.27,94.51,0.0,-0.0,0.0,212.63,2.34,332.0,92514.0
20150104:2000,-6.63,94.68,0.0,-0.0,0.0,211.45,2.21,330.0,92552.0
20150104:2100,-6.83,94.33,0.0,-0.0,0.0,211.12,2.06,332.0,92552.0
20150104:2200,-7.02,93.99,0.0,-0.0,0.0,210.78,1.9,333.0,92552.0
20150104:2300,-7.22,93.64,0.0,-0.0,0.0,210.45,1.75,335.0,92552.0
20150105:0000,-6.9,92.57,0.0,-0.0,0.0,209.68,1.67,337.0,92558.0
20150105:0100,-6.58,91.49,0.0,-0.0,0.0,208.92,1.59,339.0,92564.0
20150105:0200,-6.25,90.42,0.0,-0.0,0.0,208.15,1.5,341.0,92570.0
20150105:0300,-6.08,91.39,0.0,-0.0,0.0,208.03,1.36,342.0,92535.0
20150105:0400,-5.91,92.37,0.0,-0.0,0.0,207.92,1.22,343.0,92499.0
20150105:0500,-5.74,93.34,0.0,-0.0,0.0,207.8,1.08,344.0,92463.0
20150105:0600,-4.67,89.52,0.0,-0.0,0.0,208.42,1.1,343.0,92422.0
20150105:0700,-3.6,85.71,0.0,-0.0,0.0,209.03,1.13,341.0,92380.0
20150105:0800,-2.53,81.89,44.0,0.0,44.0,209.65,1.16,340.0,92339.0
20150105:0900,-1.01,72.61,92.0,8.22,90.0,211.82,1.39,336.0,92235.0
20150105:1000,0.51,63.32,33.0,0.0,33.0,213.98,1.63,331.0,92131.0
20150105:1100,2.02,54.04,33.0,0.0,33.0,216.15,1.86,327.0,92027.0
20150105:1200,1.53,58.18,30.0,0.0,30.0,219.07,1.83,329.0,91997.0
20150105:1300,1.05,62.31,25.0,0.0,25.0,221.98,1.8,331.0,91968.0
20150105:1400,0.56,66.45,15.0,0.0,15.0,224.9,1.77,333.0,91938.0
20150105:1500,0.03,68.63,4.0,0.0,4.0,223.87,1.56,335.0,91938.0
20150105:1600,-0.5,70.82,0.0,-0.0,0.0,222.83,1.35,337.0,91938.0
20150105:1700,-1.03,73.0,0.0,-0.0,0.0,221.8,1.14,339.0,91938.0
20150105:1800,-1.3,73.68,0.0,-0.0,0.0,221.08,1.14,339.0,91902.0
20150105:1900,-1.56,74.36,0.0,-0.0,0.0,220.37,1.14,338.0,91867.0
20150105:2000,-1.83,75.04,0.0,-0.0,0.0,219.65,1.13,338.0,91831.0
20150105:2100,-2.1,76.7,0.0,-0.0,0.0,218.73,1.13,338.0,91769.0
20150105:2200,-2.37,78.36,0.0,-0.0,0.0,217.82,1.13,339.0,91707.0
20150105:2300,-2.64,80.02,0.0,-0.0,0.0,216.9,1.13,340.0,91644.0
20150106:0000,-2.28,77.74,0.0,-0.0,0.0,217.72,1.09,340.0,91606.0
20150106:0100,-1.92,75.47,0.0,-0.0,0.0,218.53,1.04,341.0,91567.0
