B:Ln
47.334:9.645
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,3.77,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,96459.0
20140101:0100,3.17,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,96465.0
20140101:0200,2.56,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,96471.0
20140101:0300,1.96,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,96471.0
20140101:0400,1.35,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,96471.0
20140101:0500,0.75,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,96471.0
20140101:0600,0.15,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,96481.0
20140101:0700,-0.46,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,96490.0
20140101:0800,2.3,69.25,51.0,0.0,51.0,218.75,2.43,115.0,96500.0
20140101:0900,4.29,63.63,102.0,0.0,102.0,222.2,2.2,132.0,96440.0
20140101:1000,6.27,58.01,291.0,736.7,67.0,225.65,1.98,149.0,96380.0
20140101:1100,8.26,52.39,328.0,772.65,69.0,229.1,1.75,166.0,96320.0
20140101:1200,7.65,57.07,293.0,595.81,100.0,229.4,1.93,166.0,96291.0
20140101:1300,7.05,61.75,235.0,549.85,86.0,229.7,2.11,166.0,96263.0
20140101:1400,6.45,66.43,145.0,505.6,54.0,230.0,2.29,166.0,96234.0
20140101:1500,5.76,67.64,26.0,140.02,18.0,229.05,2.68,163.0,96237.0
20140101:1600,5.08,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,96241.0
20140101:1700,4.39,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,96244.0
20140101:1800,3.96,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,96231.0
20140101:1900,3.52,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,96218.0
20140101:2000,3.09,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,96206.0
20140101:2100,3.09,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,96139.0
20140101:2200,3.09,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,96073.0
20140101:2300,3.1,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,96007.0
20140102:0000,2.73,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,95985.0
20140102:0100,2.36,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,95963.0
20140102:0200,1.99,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,95941.0
20140102:0300,2.1,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,95899.0
20140102:0400,2.22,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,95858.0
20140102:0500,2.33,70.34,0.0,-0.0,0.0,291.8,3.79,153.0,95817.0
20140102:0600,2.68,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,95839.0
20140102:0700,3.03,75.33,0.0,-0.0,0.0,296.6,3.07,156.0,95862.0
20140102:0800,3.37,77.82,10.0,0.0,10.0,299.0,2.7,157.0,95884.0
20140102:0900,3.92,78.88,31.0,0.0,31.0,301.87,2.21,156.0,95890.0
20140102:1000,4.47,79.94,98.0,0.0,98.0,304.73,1.71,156.0,95896.0
20140102:1100,5.02,81.0,59.0,0.0,59.0,307.6,1.21,155.0,95903.0
20140102:1200,5.39,80.69,132.0,12.29,128.0,307.55,1.59,155.0,95941.0
20140102:1300,5.76,80.38,49.0,0.0,49.0,307.5,1.97,155.0,95978.0
20140102:1400,6.14,80.07,30.0,0.0,30.0,307.45,2.34,156.0,96016.0
20140102:1500,5.61,82.79,23.0,67.36,19.0,304.48,2.0,153.0,96067.0
20140102:1600,5.08,85.52,0.0,-0.0,0.0,301.52,1.66,151.0,96117.0
20140102:1700,4.55,88.24,0.0,-0.0,0.0,298.55,1.31,148.0,96168.0
20140102:1800,3.92,88.23,0.0,-0.0,0.0,291.98,1.55,145.0,96187.0
20140102:1900,3.3,88.21,0.0,-0.0,0.0,285.42,1.8,142.0,96206.0
20140102:2000,2.67,88.2,0.0,-0.0,0.0,278.85,2.04,139.0,96225.0
20140102:2100,2.56,87.88,0.0,-0.0,0.0,273.33,2.24,141.0,96215.0
20140102:2200,2.46,87.56,0.0,-0.0,0.0,267.82,2.44,144.0,96206.0
20140102:2300,2.36,87.24,0.0,-0.0,0.0,262.3,2.63,147.0,96196.0
20140103:0000,2.35,86.43,0.0,-0.0,0.0,262.63,2.84,146.0,96200.0
20140103:0100,2.34,85.62,0.0,-0.0,0.0,262.97,3.05,144.0,96203.0
20140103:0200,2.34,84.81,0.0,-0.0,0.0,263.3,3.26,143.0,96206.0
20140103:0300,2.39,84.74,0.0,-0.0,0.0,261.43,3.4,144.0,96209.0
20140103:0400,2.45,84.67,0.0,-0.0,0.0,259.57,3.55,146.0,96212.0
20140103:0500,2.5,84.6,0.0,-0.0,0.0,257.7,3.7,148.0,96215.0
20140103:0600,3.38,82.12,0.0,-0.0,0.0,261.35,3.52,152.0,96253.0
20140103:0700,4.26,79.63,0.0,-0.0,0.0,265.0,3.34,156.0,96291.0
20140103:0800,5.13,77.15,52.0,0.0,52.0,268.65,3.16,160.0,96329.0
20140103:0900,5.98,75.05,108.0,0.0,108.0,276.68,2.85,163.0,96320.0
20140103:1000,6.82,72.94,222.0,267.81,140.0,284.72,2.54,166.0,96310.0
20140103:1100,7.66,70.84,133.0,8.88,130.0,292.75,2.23,170.0,96301.0
20140103:1200,7.76,70.65,121.0,6.11,119.0,290.88,2.19,168.0,96329.0
20140103:1300,7.87,70.46,112.0,14.55,108.0,289.02,2.15,167.0,96357.0
20140103:1400,7.98,70.27,51.0,0.0,51.0,287.15,2.11,166.0,96386.0
20140103:1500,7.54,73.37,27.0,113.41,20.0,274.77,2.08,161.0,96421.0
20140103:1600,7.11,76.48,0.0,-0.0,0.0,262.38,2.05,155.0,96455.0
20140103:1700,6.67,79.58,0.0,-0.0,0.0,250.0,2.01,150.0,96490.0
20140103:1800,6.31,80.31,0.0,-0.0,0.0,248.53,1.88,145.0,96509.0
20140103:1900,5.96,81.04,0.0,-0.0,0.0,247.07,1.75,141.0,96528.0
20140103:2000,5.6,81.77,0.0,-0.0,0.0,245.6,1.61,137.0,96547.0
20140103:2100,5.17,83.09,0.0,-0.0,0.0,244.93,1.87,129.0,96531.0
20140103:2200,4.75,84.42,0.0,-0.0,0.0,244.27,2.12,121.0,96515.0
20140103:2300,4.33,85.74,0.0,-0.0,0.0,243.6,2.37,113.0,96500.0
20140104:0000,4.22,86.52,0.0,-0.0,0.0,258.55,2.28,120.0,96459.0
20140104:0100,4.12,87.29,0.0,-0.0,0.0,273.5,2.18,126.0,96417.0
20140104:0200,4.02,88.07,0.0,-0.0,0.0,288.45,2.08,132.0,96376.0
20140104:0300,3.84,88.01,0.0,-0.0,0.0,294.33,2.18,134.0,96297.0
20140104:0400,3.66,87.95,0.0,-0.0,0.0,300.22,2.29,137.0,96218.0
20140104:0500,3.48,87.89,0.0,-0.0,0.0,306.1,2.39,139.0,96139.0
20140104:0600,4.37,85.92,0.0,-0.0,0.0,309.62,2.52,139.0,96067.0
20140104:0700,5.25,83.96,0.0,-0.0,0.0,313.13,2.66,140.0,95994.0
20140104:0800,6.13,81.99,34.0,0.0,34.0,316.65,2.8,140.0,95922.0
20140104:0900,6.82,80.47,50.0,0.0,50.0,317.4,2.56,142.0,95760.0
20140104:1000,7.5,78.96,80.0,0.0,80.0,318.15,2.32,143.0,95599.0
20140104:1100,8.19,77.44,68.0,0.0,68.0,318.9,2.08,144.0,95438.0
20140104:1200,7.51,78.51,39.0,0.0,39.0,316.78,1.66,146.0,95413.0
20140104:1300,6.84,79.58,51.0,0.0,51.0,314.67,1.25,148.0,95388.0
20140104:1400,6.17,80.65,41.0,0.0,41.0,312.55,0.83,150.0,95362.0
20140104:1500,6.11,82.24,6.0,0.0,6.0,314.53,0.78,150.0,95325.0
20140104:1600,6.05,83.82,0.0,-0.0,0.0,316.52,0.74,150.0,95287.0
20140104:1700,5.99,85.41,0.0,-0.0,0.0,318.5,0.69,150.0,95249.0
20140104:1800,5.72,84.93,0.0,-0.0,0.0,320.13,1.31,148.0,95211.0
20140104:1900,5.44,84.44,0.0,-0.0,0.0,321.77,1.93,146.0,95173.0
20140104:2000,5.17,83.96,0.0,-0.0,0.0,323.4,2.55,145.0,95135.0
20140104:2100,5.09,84.2,0.0,-0.0,0.0,322.43,2.52,143.0,95047.0
20140104:2200,5.01,84.45,0.0,-0.0,0.0,321.47,2.5,142.0,94958.0
20140104:2300,4.94,84.69,0.0,-0.0,0.0,320.5,2.47,141.0,94870.0
20140105:0000,4.97,86.44,0.0,-0.0,0.0,320.73,2.17,145.0,94958.0
20140105:0100,5.0,88.19,0.0,-0.0,0.0,320.97,1.88,150.0,95047.0
20140105:0200,5.04,89.94,0.0,-0.0,0.0,321.2,1.59,154.0,95135.0
20140105:0300,4.69,92.89,0.0,-0.0,0.0,322.5,1.48,102.0,95220.0
20140105:0400,4.33,95.84,0.0,-0.0,0.0,323.8,1.37,50.0,95306.0
20140105:0500,3.98,98.79,0.0,-0.0,0.0,325.1,1.26,357.0,95391.0
20140105:0600,4.04,98.88,0.0,-0.0,0.0,325.62,1.01,353.0,95514.0
20140105:0700,4.09,98.97,0.0,-0.0,0.0,326.13,0.76,349.0,95637.0
20140105:0800,4.14,99.06,26.0,0.0,26.0,326.65,0.51,345.0,95760.0
20140105:0900,4.29,97.66,62.0,0.0,62.0,325.43,0.62,348.0,95827.0
20140105:1000,4.44,96.25,91.0,0.0,91.0,324.22,0.72,351.0,95893.0
20140105:1100,4.59,94.85,63.0,0.0,63.0,323.0,0.83,354.0,95959.0
20140105:1200,4.82,91.92,205.0,135.87,160.0,314.67,0.75,354.0,96029.0
20140105:1300,5.05,88.99,160.0,107.41,130.0,306.33,0.67,353.0,96098.0
20140105:1400,5.29,86.06,67.0,10.58,65.0,298.0,0.59,352.0,96168.0
20140105:1500,4.13,88.84,16.0,0.0,16.0,287.43,0.81,356.0,96247.0
20140105:1600,2.96,91.61,0.0,-0.0,0.0,276.87,1.03,0.0,96326.0
20140105:1700,1.8,94.39,0.0,-0.0,0.0,266.3,1.26,4.0,96405.0
20140105:1800,1.23,93.95,0.0,-0.0,0.0,262.07,1.46,10.0,96440.0
20140105:1900,0.66,93.5,0.0,-0.0,0.0,257.83,1.67,16.0,96474.0
20140105:2000,0.09,93.06,0.0,-0.0,0.0,253.6,1.88,21.0,96509.0
20140105:2100,-0.03,92.04,0.0,-0.0,0.0,248.33,1.89,30.0,96487.0
20140105:2200,-0.15,91.02,0.0,-0.0,0.0,243.07,1.9,38.0,96465.0
20140105:2300,-0.26,90.0,0.0,-0.0,0.0,237.8,1.92,46.0,96443.0
20140106:0000,0.13,88.21,0.0,-0.0,0.0,239.05,2.02,68.0,96433.0
20140106:0100,0.52,86.43,0.0,-0.0,0.0,240.3,2.13,90.0,96424.0
20140106:0200,0.91,84.64,0.0,-0.0,0.0,241.55,2.23,111.0,96414.0
20140106:0300,1.23,80.69,0.0,-0.0,0.0,240.88,2.4,122.0,96357.0
20140106:0400,1.55,76.74,0.0,-0.0,0.0,240.22,2.57,133.0,96301.0
20140106:0500,1.87,72.79,0.0,-0.0,0.0,239.55,2.73,144.0,96244.0
20140106:0600,3.17,68.14,0.0,-0.0,0.0,240.32,2.84,147.0,96275.0
20140106:0700,4.46,63.48,0.0,-0.0,0.0,241.08,2.95,150.0,96307.0
20140106:0800,5.75,58.83,51.0,0.0,51.0,241.85,3.06,153.0,96338.0
20140106:0900,7.77,56.15,64.0,0.0,64.0,246.43,2.82,161.0,96320.0
20140106:1000,9.78,53.47,315.0,895.9,37.0,251.02,2.57,169.0,96301.0
20140106:1100,11.79,50.79,349.0,877.32,48.0,255.6,2.33,176.0,96282.0
20140106:1200,11.06,58.12,340.0,900.04,40.0,257.4,2.33,174.0,96310.0
20140106:1300,10.33,65.44,270.0,766.9,54.0,259.2,2.32,173.0,96338.0
20140106:1400,9.6,72.77,167.0,647.14,43.0,261.0,2.32,171.0,96367.0
20140106:1500,9.1,74.55,37.0,216.34,22.0,255.68,2.4,167.0,96380.0
20140106:1600,8.6,76.33,0.0,-0.0,0.0,250.37,2.48,164.0,96392.0
20140106:1700,8.1,78.11,0.0,-0.0,0.0,245.05,2.57,161.0,96405.0
20140106:1800,7.75,77.86,0.0,-0.0,0.0,247.05,2.71,164.0,96424.0
20140106:1900,7.39,77.6,0.0,-0.0,0.0,249.05,2.86,167.0,96443.0
20140106:2000,7.04,77.35,0.0,-0.0,0.0,251.05,3.01,170.0,96462.0
20140106:2100,6.93,77.22,0.0,-0.0,0.0,254.25,2.88,168.0,96500.0
20140106:2200,6.82,77.1,0.0,-0.0,0.0,257.45,2.75,166.0,96537.0
20140106:2300,6.71,76.97,0.0,-0.0,0.0,260.65,2.62,164.0,96575.0
20140107:0000,6.32,78.69,0.0,-0.0,0.0,261.07,2.39,157.0,96635.0
20140107:0100,5.94,80.41,0.0,-0.0,0.0,261.48,2.15,150.0,96695.0
20140107:0200,5.56,82.13,0.0,-0.0,0.0,261.9,1.92,142.0,96755.0
20140107:0300,5.28,82.45,0.0,-0.0,0.0,261.88,1.99,135.0,96746.0
20140107:0400,4.99,82.78,0.0,-0.0,0.0,261.87,2.06,127.0,96736.0
20140107:0500,4.71,83.1,0.0,-0.0,0.0,261.85,2.14,119.0,96727.0
20140107:0600,5.28,82.14,0.0,-0.0,0.0,259.77,2.34,125.0,96727.0
20140107:0700,5.85,81.18,0.0,-0.0,0.0,257.68,2.53,130.0,96727.0
20140107:0800,6.41,80.22,24.0,0.0,24.0,255.6,2.73,135.0,96727.0
20140107:0900,8.03,75.47,26.0,0.0,26.0,259.37,2.27,148.0,96708.0
20140107:1000,9.65,70.73,318.0,910.5,34.0,263.13,1.81,161.0,96689.0
20140107:1100,11.27,65.98,348.0,849.2,55.0,266.9,1.35,174.0,96670.0
20140107:1200,11.03,67.46,258.0,324.84,149.0,272.08,1.4,173.0,96673.0
20140107:1300,10.8,68.93,163.0,105.59,133.0,277.27,1.44,172.0,96676.0
20140107:1400,10.57,70.41,93.0,61.78,81.0,282.45,1.49,172.0,96680.0
20140107:1500,9.67,73.35,18.0,0.0,18.0,281.25,1.63,169.0,96724.0
20140107:1600,8.77,76.28,0.0,-0.0,0.0,280.05,1.77,166.0,96768.0
20140107:1700,7.87,79.22,0.0,-0.0,0.0,278.85,1.92,163.0,96812.0
20140107:1800,7.26,80.52,0.0,-0.0,0.0,279.17,2.0,161.0,96847.0
20140107:1900,6.64,81.83,0.0,-0.0,0.0,279.48,2.07,160.0,96882.0
20140107:2000,6.03,83.13,0.0,-0.0,0.0,279.8,2.15,158.0,96916.0
20140107:2100,5.95,83.79,0.0,-0.0,0.0,281.13,2.33,157.0,96910.0
