B:Ln
47.309:9.647
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,5.7,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,96205.0
20140101:0100,5.09,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,96211.0
20140101:0200,4.48,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,96217.0
20140101:0300,3.87,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,96217.0
20140101:0400,3.27,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,96217.0
20140101:0500,2.66,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,96217.0
20140101:0600,2.05,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,96227.0
20140101:0700,1.44,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,96236.0
20140101:0800,3.95,69.25,51.0,0.0,51.0,218.75,2.43,115.0,96246.0
20140101:0900,5.99,63.63,163.0,261.83,102.0,222.2,2.2,132.0,96186.0
20140101:1000,8.03,58.01,291.0,735.72,67.0,225.65,1.98,149.0,96126.0
20140101:1100,10.07,52.39,328.0,771.71,69.0,229.1,1.75,166.0,96066.0
20140101:1200,9.51,57.07,293.0,595.08,100.0,229.4,1.93,166.0,96038.0
20140101:1300,8.96,61.75,235.0,549.1,86.0,229.7,2.11,166.0,96009.0
20140101:1400,8.4,66.43,145.0,504.69,54.0,230.0,2.29,166.0,95981.0
20140101:1500,7.67,67.64,26.0,139.39,18.0,229.05,2.68,163.0,95984.0
20140101:1600,6.93,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,95987.0
20140101:1700,6.19,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,95990.0
20140101:1800,5.81,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,95978.0
20140101:1900,5.44,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,95965.0
20140101:2000,5.06,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,95953.0
20140101:2100,5.08,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,95886.0
20140101:2200,5.1,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,95820.0
20140101:2300,5.12,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,95754.0
20140102:0000,4.74,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,95732.0
20140102:0100,4.35,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,95710.0
20140102:0200,3.97,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,95688.0
20140102:0300,4.04,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,95647.0
20140102:0400,4.11,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,95606.0
20140102:0500,4.18,70.34,0.0,-0.0,0.0,291.8,3.79,153.0,95565.0
20140102:0600,4.46,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,95587.0
20140102:0700,4.74,75.33,0.0,-0.0,0.0,296.6,3.07,156.0,95609.0
20140102:0800,5.02,77.82,10.0,0.0,10.0,299.0,2.7,157.0,95631.0
20140102:0900,5.62,78.88,31.0,0.0,31.0,301.87,2.21,156.0,95638.0
20140102:1000,6.23,79.94,98.0,0.0,98.0,304.73,1.71,156.0,95644.0
20140102:1100,6.83,81.0,59.0,0.0,59.0,307.6,1.21,155.0,95650.0
20140102:1200,7.25,80.69,132.0,12.27,128.0,307.55,1.59,155.0,95688.0
20140102:1300,7.67,80.38,49.0,0.0,49.0,307.5,1.97,155.0,95726.0
20140102:1400,8.09,80.07,30.0,0.0,30.0,307.45,2.34,156.0,95764.0
20140102:1500,7.51,82.79,23.0,67.07,19.0,304.48,2.0,153.0,95814.0
20140102:1600,6.93,85.52,0.0,-0.0,0.0,301.52,1.66,151.0,95864.0
20140102:1700,6.35,88.24,0.0,-0.0,0.0,298.55,1.31,148.0,95915.0
