B:Ln
47.208:10.142
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,-4.85,72.96,0.0,-0.0,0.0,241.84,2.58,183.0,85380.0
20130101:0100,-5.15,69.07,0.0,-0.0,0.0,235.84,2.9,183.0,85338.0
20130101:0200,-5.45,65.19,0.0,-0.0,0.0,229.83,3.23,182.0,85296.0
20130101:0300,-5.74,61.3,0.0,-0.0,0.0,223.83,3.55,184.0,85268.0
20130101:0400,-6.04,57.42,0.0,-0.0,0.0,217.83,3.88,185.0,85240.0
20130101:0500,-6.33,53.54,0.0,-0.0,0.0,211.83,4.2,186.0,85212.0
20130101:0600,-6.63,49.65,0.0,-0.0,0.0,205.82,4.52,187.0,85207.0
20130101:0700,-6.93,45.77,0.0,-0.0,0.0,199.82,4.85,188.0,85201.0
20130101:0800,-5.29,55.86,19.0,0.0,19.0,227.55,3.37,188.0,85196.0
20130101:0900,-4.57,54.8,44.0,0.0,44.0,233.57,3.01,191.0,85148.0
20130101:1000,-3.86,53.73,54.0,0.0,54.0,239.58,2.66,193.0,85100.0
20130101:1100,-3.15,52.67,210.0,133.3,165.0,245.6,2.3,196.0,85053.0
20130101:1200,-3.08,55.0,336.0,935.76,32.0,242.52,2.31,202.0,85100.0
20130101:1300,-3.0,57.33,113.0,0.0,113.0,239.43,2.32,207.0,85148.0
20130101:1400,-2.93,59.66,14.0,0.0,14.0,236.35,2.33,213.0,85196.0
20130101:1500,-3.27,63.36,8.0,0.0,8.0,242.32,2.38,217.0,85232.0
20130101:1600,-3.61,67.06,0.0,-0.0,0.0,248.28,2.42,221.0,85268.0
20130101:1700,-3.95,70.76,0.0,-0.0,0.0,254.25,2.47,224.0,85305.0
20130101:1800,-3.99,74.27,0.0,-0.0,0.0,261.82,2.23,226.0,85338.0
20130101:1900,-4.04,77.79,0.0,-0.0,0.0,269.38,2.0,228.0,85372.0
20130101:2000,-4.08,81.3,0.0,-0.0,0.0,276.95,1.77,230.0,85406.0
20130101:2100,-4.23,84.48,0.0,-0.0,0.0,281.53,1.56,254.0,85445.0
20130101:2200,-4.38,87.67,0.0,-0.0,0.0,286.12,1.36,278.0,85484.0
20130101:2300,-4.52,90.85,0.0,-0.0,0.0,290.7,1.16,302.0,85523.0
20130102:0000,-4.64,92.43,0.0,-0.0,0.0,294.08,1.12,318.0,85568.0
20130102:0100,-4.76,94.02,0.0,-0.0,0.0,297.47,1.09,333.0,85613.0
20130102:0200,-4.87,95.6,0.0,-0.0,0.0,300.85,1.05,348.0,85658.0
20130102:0300,-4.92,96.43,0.0,-0.0,0.0,300.47,1.23,348.0,85705.0
20130102:0400,-4.97,97.26,0.0,-0.0,0.0,300.08,1.41,347.0,85753.0
20130102:0500,-5.02,98.09,0.0,-0.0,0.0,299.7,1.59,347.0,85800.0
20130102:0600,-4.69,97.81,0.0,-0.0,0.0,298.45,1.48,348.0,85884.0
20130102:0700,-4.36,97.54,0.0,-0.0,0.0,297.2,1.37,349.0,85968.0
20130102:0800,-4.04,97.26,47.0,0.0,47.0,295.95,1.26,350.0,86052.0
20130102:0900,-3.5,93.19,20.0,0.0,20.0,294.75,1.34,352.0,86111.0
20130102:1000,-2.97,89.12,82.0,0.0,82.0,293.55,1.42,354.0,86170.0
20130102:1100,-2.43,85.05,224.0,174.08,165.0,292.35,1.5,355.0,86229.0
20130102:1200,-2.79,83.11,29.0,0.0,29.0,289.32,1.44,0.0,86296.0
20130102:1300,-3.14,81.17,45.0,0.0,45.0,286.28,1.37,5.0,86363.0
20130102:1400,-3.5,79.23,77.0,0.0,77.0,283.25,1.31,10.0,86430.0
20130102:1500,-3.45,84.04,4.0,0.0,4.0,283.47,1.02,11.0,86497.0
20130102:1600,-3.39,88.86,0.0,-0.0,0.0,283.68,0.72,11.0,86565.0
20130102:1700,-3.34,93.67,0.0,-0.0,0.0,283.9,0.43,12.0,86632.0
20130102:1800,-3.69,93.93,0.0,-0.0,0.0,286.32,0.78,8.0,86699.0
20130102:1900,-4.05,94.2,0.0,-0.0,0.0,288.73,1.14,4.0,86766.0
20130102:2000,-4.41,94.46,0.0,-0.0,0.0,291.15,1.49,1.0,86833.0
20130102:2100,-4.93,94.17,0.0,-0.0,0.0,286.48,1.58,355.0,86853.0
20130102:2200,-5.44,93.89,0.0,-0.0,0.0,281.82,1.67,349.0,86873.0
20130102:2300,-5.95,93.6,0.0,-0.0,0.0,277.15,1.77,344.0,86892.0
20130103:0000,-6.22,92.96,0.0,-0.0,0.0,274.37,1.83,336.0,86898.0
20130103:0100,-6.49,92.33,0.0,-0.0,0.0,271.58,1.9,329.0,86903.0
20130103:0200,-6.76,91.69,0.0,-0.0,0.0,268.8,1.97,321.0,86909.0
