B:Ln
47.349:9619
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,4.0,81.9,0.0,-0.0,0.0,237.54,2.32,149.0,96875.0
20140101:0100,3.39,80.45,0.0,-0.0,0.0,234.21,2.35,143.0,96882.0
20140101:0200,2.79,79.0,0.0,-0.0,0.0,230.88,2.37,137.0,96888.0
20140101:0300,2.18,77.56,0.0,-0.0,0.0,227.55,2.4,125.0,96888.0
20140101:0400,1.58,76.11,0.0,-0.0,0.0,224.22,2.42,113.0,96888.0
20140101:0500,0.97,74.66,0.0,-0.0,0.0,220.89,2.45,101.0,96888.0
20140101:0600,0.37,73.21,0.0,-0.0,0.0,217.56,2.48,106.0,96897.0
20140101:0700,-0.24,71.77,0.0,-0.0,0.0,214.23,2.5,110.0,96907.0
20140101:0800,2.54,69.25,73.0,175.56,51.0,218.75,2.44,115.0,96916.0
20140101:0900,4.53,63.63,163.0,262.67,102.0,222.2,2.24,132.0,96856.0
20140101:1000,6.52,58.01,291.0,737.49,67.0,225.65,2.05,149.0,96796.0
20140101:1100,8.51,52.39,328.0,773.26,69.0,229.1,1.85,166.0,96736.0
20140101:1200,7.91,57.07,293.0,596.16,100.0,229.4,2.0,166.0,96707.0
20140101:1300,7.3,61.75,235.0,550.07,86.0,229.7,2.16,166.0,96678.0
20140101:1400,6.7,66.43,145.0,505.66,54.0,230.0,2.32,166.0,96650.0
20140101:1500,6.01,67.64,18.0,0.0,18.0,229.05,2.51,163.0,96653.0
20140101:1600,5.32,68.86,0.0,-0.0,0.0,228.1,2.71,159.0,96656.0
20140101:1700,4.63,70.07,0.0,-0.0,0.0,227.15,2.91,156.0,96659.0
20140101:1800,4.19,67.83,0.0,-0.0,0.0,229.03,2.91,155.0,96647.0
20140101:1900,3.75,65.58,0.0,-0.0,0.0,230.92,2.9,154.0,96634.0
20140101:2000,3.31,63.34,0.0,-0.0,0.0,232.8,2.9,153.0,96621.0
20140101:2100,3.32,62.54,0.0,-0.0,0.0,240.55,3.0,153.0,96555.0
20140101:2200,3.32,61.75,0.0,-0.0,0.0,248.3,3.1,154.0,96488.0
20140101:2300,3.33,60.95,0.0,-0.0,0.0,256.05,3.2,154.0,96422.0
20140102:0000,2.96,61.82,0.0,-0.0,0.0,263.32,3.14,154.0,96399.0
20140102:0100,2.59,62.68,0.0,-0.0,0.0,270.58,3.09,154.0,96377.0
20140102:0200,2.22,63.55,0.0,-0.0,0.0,277.85,3.03,154.0,96355.0
