B:Ln
47.216:9.701
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.63,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,94670.0
20140101:0100,1.29,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,94676.0
20140101:0200,0.95,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,94682.0
20140101:0300,0.61,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,94682.0
20140101:0400,0.27,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,94682.0
20140101:0500,-0.07,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,94682.0
20140101:0600,-0.41,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,94691.0
20140101:0700,-0.75,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,94701.0
20140101:0800,1.01,69.25,85.0,289.92,48.0,218.75,2.57,115.0,94710.0
20140101:0900,2.92,63.63,179.0,366.52,93.0,222.2,2.36,132.0,94651.0
20140101:1000,4.83,58.01,244.0,388.74,125.0,225.65,2.15,149.0,94592.0
20140101:1100,6.74,52.39,268.0,373.69,142.0,229.1,1.94,166.0,94533.0
20140101:1200,6.1,57.07,276.0,475.87,121.0,229.4,2.11,166.0,94505.0
20140101:1300,5.47,61.75,228.0,491.72,94.0,229.7,2.27,166.0,94477.0
20140101:1400,4.83,66.43,151.0,574.01,47.0,230.0,2.43,166.0,94450.0
20140101:1500,3.96,67.64,17.0,0.0,17.0,229.05,2.74,163.0,94453.0
20140101:1600,3.08,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,94456.0
20140101:1700,2.2,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,94459.0
20140101:1800,1.37,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,94446.0
20140101:1900,0.54,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,94434.0
20140101:2000,-0.29,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,94422.0
20140101:2100,-0.42,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,94357.0
20140101:2200,-0.54,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,94291.0
20140101:2300,-0.66,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,94226.0
20140102:0000,-1.03,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,94205.0
