B:Ln
47.291:9.664
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,5.44,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,95744.0
20140101:0100,4.84,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,95751.0
20140101:0200,4.23,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,95757.0
20140101:0300,3.62,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,95757.0
20140101:0400,3.02,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,95757.0
20140101:0500,2.41,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,95757.0
20140101:0600,1.8,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,95766.0
20140101:0700,1.2,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,95776.0
20140101:0800,3.68,69.25,38.0,0.0,38.0,218.75,2.43,115.0,95785.0
20140101:0900,5.72,63.63,202.0,561.43,71.0,222.2,2.2,132.0,95725.0
20140101:1000,7.75,58.01,258.0,479.0,112.0,225.65,1.98,149.0,95666.0
20140101:1100,9.79,52.39,309.0,619.18,101.0,229.1,1.75,166.0,95606.0
20140101:1200,9.23,57.07,291.0,576.12,104.0,229.4,1.93,166.0,95578.0
20140101:1300,8.68,61.75,242.0,600.26,79.0,229.7,2.11,166.0,95550.0
20140101:1400,8.13,66.43,157.0,659.53,38.0,230.0,2.29,166.0,95522.0
20140101:1500,7.39,67.64,29.0,226.29,16.0,229.05,2.68,163.0,95525.0
20140101:1600,6.66,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,95528.0
20140101:1700,5.93,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,95531.0
20140101:1800,5.55,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,95519.0
20140101:1900,5.18,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,95506.0
20140101:2000,4.81,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,95493.0
20140101:2100,4.83,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,95428.0
20140101:2200,4.84,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,95362.0
20140101:2300,4.86,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,95296.0
20140102:0000,4.48,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,95274.0
20140102:0100,4.1,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,95252.0
20140102:0200,3.72,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,95230.0
20140102:0300,3.79,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,95189.0
20140102:0400,3.86,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,95149.0
20140102:0500,3.94,70.34,0.0,-0.0,0.0,291.8,3.79,153.0,95108.0
20140102:0600,4.21,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,95130.0
20140102:0700,4.48,75.33,0.0,-0.0,0.0,296.6,3.07,156.0,95152.0
20140102:0800,4.75,77.82,37.0,0.0,37.0,299.0,2.7,157.0,95174.0
20140102:0900,5.35,78.88,76.0,4.27,75.0,301.87,2.21,156.0,95180.0
20140102:1000,5.95,79.94,57.0,0.0,57.0,304.73,1.71,156.0,95186.0
20140102:1100,6.55,81.0,112.0,2.97,111.0,307.6,1.21,155.0,95193.0
20140102:1200,6.97,80.69,77.0,0.0,77.0,307.55,1.59,155.0,95230.0
20140102:1300,7.39,80.38,23.0,0.0,23.0,307.5,1.97,155.0,95268.0
20140102:1400,7.82,80.07,40.0,0.0,40.0,307.45,2.34,156.0,95305.0
20140102:1500,7.24,82.79,28.0,150.77,19.0,304.48,2.0,153.0,95356.0
20140102:1600,6.66,85.52,0.0,-0.0,0.0,301.52,1.66,151.0,95406.0
20140102:1700,6.09,88.24,0.0,-0.0,0.0,298.55,1.31,148.0,95456.0
20140102:1800,5.52,88.23,0.0,-0.0,0.0,291.98,1.55,145.0,95475.0
20140102:1900,4.96,88.21,0.0,-0.0,0.0,285.42,1.8,142.0,95493.0
20140102:2000,4.39,88.2,0.0,-0.0,0.0,278.85,2.04,139.0,95512.0
20140102:2100,4.3,87.88,0.0,-0.0,0.0,273.33,2.24,141.0,95503.0
20140102:2200,4.21,87.56,0.0,-0.0,0.0,267.82,2.44,144.0,95493.0
20140102:2300,4.12,87.24,0.0,-0.0,0.0,262.3,2.63,147.0,95484.0
20140103:0000,4.1,86.43,0.0,-0.0,0.0,262.63,2.84,146.0,95487.0
20140103:0100,4.08,85.62,0.0,-0.0,0.0,262.97,3.05,144.0,95490.0
20140103:0200,4.07,84.81,0.0,-0.0,0.0,263.3,3.26,143.0,95493.0
20140103:0300,4.08,84.74,0.0,-0.0,0.0,261.43,3.4,144.0,95497.0
20140103:0400,4.09,84.67,0.0,-0.0,0.0,259.57,3.55,146.0,95500.0
20140103:0500,4.11,84.6,0.0,-0.0,0.0,257.7,3.7,148.0,95503.0
20140103:0600,4.91,82.12,0.0,-0.0,0.0,261.35,3.52,152.0,95541.0
20140103:0700,5.71,79.63,0.0,-0.0,0.0,265.0,3.34,156.0,95578.0
20140103:0800,6.51,77.15,52.0,0.0,52.0,268.65,3.16,160.0,95616.0
20140103:0900,7.4,75.05,104.0,29.81,97.0,276.68,2.85,163.0,95606.0
20140103:1000,8.3,72.94,195.0,153.13,148.0,284.72,2.54,166.0,95597.0
20140103:1100,9.19,70.84,126.0,5.9,124.0,292.75,2.23,170.0,95588.0
20140103:1200,9.34,70.65,162.0,42.68,148.0,290.88,2.19,168.0,95616.0
20140103:1300,9.5,70.46,151.0,87.12,127.0,289.02,2.15,167.0,95644.0
20140103:1400,9.66,70.27,50.0,0.0,50.0,287.15,2.11,166.0,95672.0
20140103:1500,9.17,73.37,31.0,177.31,20.0,274.77,2.08,161.0,95707.0
20140103:1600,8.69,76.48,0.0,-0.0,0.0,262.38,2.05,155.0,95741.0
20140103:1700,8.21,79.58,0.0,-0.0,0.0,250.0,2.01,150.0,95776.0
20140103:1800,7.91,80.31,0.0,-0.0,0.0,248.53,1.88,145.0,95794.0
20140103:1900,7.62,81.04,0.0,-0.0,0.0,247.07,1.75,141.0,95813.0
20140103:2000,7.32,81.77,0.0,-0.0,0.0,245.6,1.61,137.0,95832.0
20140103:2100,6.91,83.09,0.0,-0.0,0.0,244.93,1.87,129.0,95816.0
20140103:2200,6.5,84.42,0.0,-0.0,0.0,244.27,2.12,121.0,95801.0
20140103:2300,6.09,85.74,0.0,-0.0,0.0,243.6,2.37,113.0,95785.0
20140104:0000,5.97,86.52,0.0,-0.0,0.0,258.55,2.28,120.0,95744.0
20140104:0100,5.86,87.29,0.0,-0.0,0.0,273.5,2.18,126.0,95704.0
20140104:0200,5.75,88.07,0.0,-0.0,0.0,288.45,2.08,132.0,95663.0
20140104:0300,5.53,88.01,0.0,-0.0,0.0,294.33,2.18,134.0,95584.0
20140104:0400,5.31,87.95,0.0,-0.0,0.0,300.22,2.29,137.0,95506.0
20140104:0500,5.09,87.89,0.0,-0.0,0.0,306.1,2.39,139.0,95428.0
20140104:0600,5.9,85.92,0.0,-0.0,0.0,309.62,2.52,139.0,95356.0
20140104:0700,6.7,83.96,0.0,-0.0,0.0,313.13,2.66,140.0,95283.0
20140104:0800,7.51,81.99,25.0,0.0,25.0,316.65,2.8,140.0,95211.0
20140104:0900,8.25,80.47,32.0,0.0,32.0,317.4,2.56,142.0,95051.0
20140104:1000,8.98,78.96,59.0,0.0,59.0,318.15,2.32,143.0,94892.0
20140104:1100,9.72,77.44,67.0,0.0,67.0,318.9,2.08,144.0,94732.0
20140104:1200,9.09,78.51,50.0,0.0,50.0,316.78,1.66,146.0,94707.0
20140104:1300,8.47,79.58,70.0,0.0,70.0,314.67,1.25,148.0,94681.0
20140104:1400,7.85,80.65,54.0,0.0,54.0,312.55,0.83,150.0,94656.0
20140104:1500,7.74,82.24,9.0,0.0,9.0,314.53,0.78,150.0,94619.0
20140104:1600,7.63,83.82,0.0,-0.0,0.0,316.52,0.74,150.0,94581.0
20140104:1700,7.53,85.41,0.0,-0.0,0.0,318.5,0.69,150.0,94544.0
20140104:1800,7.31,84.93,0.0,-0.0,0.0,320.13,1.31,148.0,94506.0
20140104:1900,7.1,84.44,0.0,-0.0,0.0,321.77,1.93,146.0,94468.0
20140104:2000,6.89,83.96,0.0,-0.0,0.0,323.4,2.55,145.0,94431.0
20140104:2100,6.83,84.2,0.0,-0.0,0.0,322.43,2.52,143.0,94343.0
20140104:2200,6.76,84.45,0.0,-0.0,0.0,321.47,2.5,142.0,94255.0
20140104:2300,6.7,84.69,0.0,-0.0,0.0,320.5,2.47,141.0,94167.0
20140105:0000,6.72,86.44,0.0,-0.0,0.0,320.73,2.17,145.0,94255.0
20140105:0100,6.74,88.19,0.0,-0.0,0.0,320.97,1.88,150.0,94343.0
20140105:0200,6.77,89.94,0.0,-0.0,0.0,321.2,1.59,154.0,94431.0
20140105:0300,6.37,92.89,0.0,-0.0,0.0,322.5,1.48,102.0,94515.0
20140105:0400,5.98,95.84,0.0,-0.0,0.0,323.8,1.37,50.0,94600.0
20140105:0500,5.59,98.79,0.0,-0.0,0.0,325.1,1.26,357.0,94685.0
20140105:0600,5.57,98.88,0.0,-0.0,0.0,325.62,1.01,353.0,94807.0
20140105:0700,5.54,98.97,0.0,-0.0,0.0,326.13,0.76,349.0,94929.0
20140105:0800,5.52,99.06,35.0,0.0,35.0,326.65,0.51,345.0,95051.0
20140105:0900,5.72,97.66,61.0,0.0,61.0,325.43,0.62,348.0,95117.0
20140105:1000,5.92,96.25,46.0,0.0,46.0,324.22,0.72,351.0,95183.0
20140105:1100,6.12,94.85,170.0,43.86,155.0,323.0,0.83,354.0,95249.0
20140105:1200,6.4,91.92,167.0,51.23,150.0,314.67,0.75,354.0,95318.0
20140105:1300,6.68,88.99,202.0,275.13,125.0,306.33,0.67,353.0,95387.0
20140105:1400,6.97,86.06,114.0,163.56,83.0,298.0,0.59,352.0,95456.0
20140105:1500,5.76,88.84,13.0,0.0,13.0,287.43,0.81,356.0,95534.0
