B:Ln
47.225:9.672
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.62,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,96009.0
20140101:0100,1.26,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,96015.0
20140101:0200,0.9,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,96021.0
20140101:0300,0.54,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,96021.0
20140101:0400,0.17,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,96021.0
20140101:0500,-0.19,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,96021.0
20140101:0600,-0.55,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,96031.0
20140101:0700,-0.91,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,96040.0
20140101:0800,0.8,69.25,84.0,282.86,48.0,218.75,2.57,115.0,96050.0
20140101:0900,2.78,63.63,191.0,469.42,81.0,222.2,2.36,132.0,95990.0
20140101:1000,4.76,58.01,246.0,398.86,124.0,225.65,2.15,149.0,95930.0
20140101:1100,6.74,52.39,282.0,451.02,130.0,229.1,1.94,166.0,95870.0
20140101:1200,6.11,57.07,331.0,899.78,38.0,229.4,2.11,166.0,95842.0
20140101:1300,5.48,61.75,228.0,491.72,94.0,229.7,2.27,166.0,95814.0
20140101:1400,4.85,66.43,135.0,380.65,66.0,230.0,2.43,166.0,95786.0
20140101:1500,3.97,67.64,18.0,0.0,18.0,229.05,2.74,163.0,95789.0
20140101:1600,3.09,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,95792.0
20140101:1700,2.22,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,95795.0
20140101:1800,1.34,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,95782.0
20140101:1900,0.45,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,95770.0
20140101:2000,-0.43,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,95757.0
20140101:2100,-0.54,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,95691.0
20140101:2200,-0.66,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,95625.0
20140101:2300,-0.77,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,95559.0
20140102:0000,-1.12,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,95537.0
20140102:0100,-1.48,62.68,0.0,-0.0,0.0,270.58,4.19,154.0,95515.0
20140102:0200,-1.83,63.55,0.0,-0.0,0.0,277.85,4.22,154.0,95493.0
20140102:0300,-1.64,65.81,0.0,-0.0,0.0,282.5,4.2,154.0,95452.0
20140102:0400,-1.45,68.08,0.0,-0.0,0.0,287.15,4.18,154.0,95411.0
20140102:0500,-1.25,70.34,0.0,-0.0,0.0,291.8,4.17,153.0,95371.0
20140102:0600,-0.68,72.83,0.0,-0.0,0.0,294.2,3.94,155.0,95393.0
20140102:0700,-0.11,75.33,0.0,-0.0,0.0,296.6,3.71,156.0,95415.0
20140102:0800,0.46,77.82,37.0,0.0,37.0,299.0,3.48,157.0,95437.0
20140102:0900,1.02,78.88,94.0,17.02,90.0,301.87,2.87,156.0,95443.0
20140102:1000,1.58,79.94,55.0,0.0,55.0,304.73,2.27,156.0,95449.0
20140102:1100,2.14,81.0,158.0,32.51,147.0,307.6,1.67,155.0,95455.0
20140102:1200,2.65,80.69,83.0,0.0,83.0,307.55,1.91,155.0,95493.0
20140102:1300,3.15,80.38,26.0,0.0,26.0,307.5,2.15,155.0,95531.0
20140102:1400,3.66,80.07,46.0,0.0,46.0,307.45,2.39,156.0,95569.0
20140102:1500,3.75,82.79,18.0,0.0,18.0,304.48,2.12,153.0,95619.0
20140102:1600,3.84,85.52,0.0,-0.0,0.0,301.52,1.85,151.0,95669.0
20140102:1700,3.94,88.24,0.0,-0.0,0.0,298.55,1.59,148.0,95720.0
20140102:1800,3.43,88.23,0.0,-0.0,0.0,291.98,1.87,145.0,95738.0
20140102:1900,2.91,88.21,0.0,-0.0,0.0,285.42,2.15,142.0,95757.0
20140102:2000,2.4,88.2,0.0,-0.0,0.0,278.85,2.43,139.0,95776.0
20140102:2100,2.15,87.88,0.0,-0.0,0.0,273.33,2.7,141.0,95767.0
20140102:2200,1.9,87.56,0.0,-0.0,0.0,267.82,2.98,144.0,95757.0
20140102:2300,1.65,87.24,0.0,-0.0,0.0,262.3,3.26,147.0,95748.0
20140103:0000,1.57,86.43,0.0,-0.0,0.0,262.63,3.43,146.0,95751.0
20140103:0100,1.48,85.62,0.0,-0.0,0.0,262.97,3.6,144.0,95754.0
20140103:0200,1.4,84.81,0.0,-0.0,0.0,263.3,3.77,143.0,95757.0
20140103:0300,1.34,84.74,0.0,-0.0,0.0,261.43,3.83,144.0,95760.0
20140103:0400,1.28,84.67,0.0,-0.0,0.0,259.57,3.89,146.0,95764.0
20140103:0500,1.22,84.6,0.0,-0.0,0.0,257.7,3.96,148.0,95767.0
20140103:0600,1.75,82.12,0.0,-0.0,0.0,261.35,3.88,152.0,95804.0
20140103:0700,2.29,79.63,0.0,-0.0,0.0,265.0,3.79,156.0,95842.0
20140103:0800,2.82,77.15,71.0,148.31,52.0,268.65,3.71,160.0,95880.0
20140103:0900,3.47,75.05,114.0,50.89,102.0,276.68,3.29,163.0,95870.0
20140103:1000,4.11,72.94,174.0,94.16,145.0,284.72,2.86,166.0,95861.0
20140103:1100,4.76,70.84,118.0,2.94,117.0,292.75,2.44,170.0,95852.0
20140103:1200,5.07,70.65,160.0,42.55,146.0,290.88,2.51,168.0,95880.0
