B:Ln
47.202:9.694
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,2.35,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,95974.0
20140101:0100,2.0,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,95981.0
20140101:0200,1.66,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,95987.0
20140101:0300,1.32,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,95987.0
20140101:0400,0.98,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,95987.0
20140101:0500,0.64,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,95987.0
20140101:0600,0.3,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,95996.0
20140101:0700,-0.04,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,96006.0
20140101:0800,1.76,69.25,84.0,281.84,48.0,218.75,2.57,115.0,96015.0
20140101:0900,3.69,63.63,191.0,468.5,81.0,222.2,2.36,132.0,95955.0
20140101:1000,5.62,58.01,246.0,398.29,124.0,225.65,2.15,149.0,95896.0
20140101:1100,7.55,52.39,282.0,450.5,130.0,229.1,1.94,166.0,95836.0
20140101:1200,6.9,57.07,331.0,898.88,38.0,229.4,2.11,166.0,95808.0
20140101:1300,6.26,61.75,228.0,491.27,94.0,229.7,2.27,166.0,95779.0
20140101:1400,5.62,66.43,66.0,0.0,66.0,230.0,2.43,166.0,95751.0
20140101:1500,4.73,67.64,18.0,0.0,18.0,229.05,2.74,163.0,95754.0
20140101:1600,3.85,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,95757.0
20140101:1700,2.96,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,95761.0
20140101:1800,2.11,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,95748.0
20140101:1900,1.26,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,95735.0
20140101:2000,0.41,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,95723.0
20140101:2100,0.3,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,95657.0
20140101:2200,0.19,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,95591.0
20140101:2300,0.09,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,95525.0
20140102:0000,-0.29,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,95503.0
20140102:0100,-0.66,62.68,0.0,-0.0,0.0,270.58,4.19,154.0,95481.0
