B:Ln
47.214:9.729
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,1.32,80.44,0.0,-0.0,0.0,218.27,2.22,149.0,94102.0
20140101:0100,0.98,79.35,0.0,-0.0,0.0,218.2,2.34,143.0,94108.0
20140101:0200,0.64,78.27,0.0,-0.0,0.0,218.14,2.47,137.0,94114.0
20140101:0300,0.3,77.18,0.0,-0.0,0.0,218.07,2.59,125.0,94114.0
20140101:0400,-0.04,76.1,0.0,-0.0,0.0,218.0,2.72,113.0,94114.0
20140101:0500,-0.39,75.02,0.0,-0.0,0.0,217.94,2.84,101.0,94114.0
20140101:0600,-0.73,73.93,0.0,-0.0,0.0,217.87,2.97,106.0,94124.0
20140101:0700,-1.07,72.85,0.0,-0.0,0.0,217.81,3.1,110.0,94133.0
20140101:0800,0.68,69.25,85.0,289.35,48.0,218.75,2.57,115.0,94142.0
20140101:0900,2.58,63.63,179.0,366.22,93.0,222.2,2.36,132.0,94084.0
20140101:1000,4.48,58.01,244.0,388.58,125.0,225.65,2.15,149.0,94025.0
20140101:1100,6.39,52.39,268.0,373.63,142.0,229.1,1.94,166.0,93966.0
20140101:1200,5.75,57.07,276.0,475.91,121.0,229.4,2.11,166.0,93939.0
20140101:1300,5.12,61.75,228.0,491.92,94.0,229.7,2.27,166.0,93911.0
20140101:1400,4.48,66.43,151.0,574.57,47.0,230.0,2.43,166.0,93883.0
20140101:1500,3.61,67.64,17.0,0.0,17.0,229.05,2.74,163.0,93886.0
20140101:1600,2.74,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,93889.0
20140101:1700,1.87,70.07,0.0,-0.0,0.0,227.15,3.38,156.0,93893.0
20140101:1800,1.05,67.83,0.0,-0.0,0.0,229.03,3.54,155.0,93880.0
20140101:1900,0.22,65.58,0.0,-0.0,0.0,230.92,3.69,154.0,93868.0
20140101:2000,-0.6,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,93856.0
20140101:2100,-0.73,62.54,0.0,-0.0,0.0,240.55,3.94,153.0,93791.0
20140101:2200,-0.86,61.75,0.0,-0.0,0.0,248.3,4.03,154.0,93726.0
20140101:2300,-0.99,60.95,0.0,-0.0,0.0,256.05,4.12,154.0,93661.0
20140102:0000,-1.35,61.82,0.0,-0.0,0.0,263.32,4.16,154.0,93640.0
20140102:0100,-1.71,62.68,0.0,-0.0,0.0,270.58,4.19,154.0,93618.0
20140102:0200,-2.07,63.55,0.0,-0.0,0.0,277.85,4.22,154.0,93597.0
20140102:0300,-1.86,65.81,0.0,-0.0,0.0,282.5,4.2,154.0,93557.0
20140102:0400,-1.65,68.08,0.0,-0.0,0.0,287.15,4.18,154.0,93517.0
