B:Ln
47.312:10.018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,1.59,64.29,0.0,-0.0,0.0,216.06,3.14,183.0,91904.0
20130101:0100,1.66,62.43,0.0,-0.0,0.0,216.13,3.3,183.0,91859.0
20130101:0200,1.72,60.57,0.0,-0.0,0.0,216.19,3.46,182.0,91814.0
20130101:0300,1.79,58.71,0.0,-0.0,0.0,216.26,3.62,184.0,91784.0
20130101:0400,1.85,56.85,0.0,-0.0,0.0,216.33,3.79,185.0,91754.0
20130101:0500,1.92,54.99,0.0,-0.0,0.0,216.4,3.95,186.0,91723.0
20130101:0600,1.98,53.14,0.0,-0.0,0.0,216.46,4.11,187.0,91717.0
20130101:0700,2.05,51.28,0.0,-0.0,0.0,216.53,4.27,188.0,91711.0
20130101:0800,3.29,55.86,30.0,0.0,30.0,227.55,3.17,188.0,91705.0
20130101:0900,4.07,54.8,97.0,0.0,97.0,233.57,2.8,191.0,91654.0
20130101:1000,4.85,53.73,138.0,0.0,138.0,239.58,2.43,193.0,91603.0
20130101:1100,5.63,52.67,352.0,985.69,21.0,245.6,2.06,196.0,91552.0
20130101:1200,5.29,55.0,74.0,0.0,74.0,242.52,2.04,202.0,91603.0
20130101:1300,4.95,57.33,23.0,0.0,23.0,239.43,2.03,207.0,91654.0
20130101:1400,4.61,59.66,77.0,0.0,77.0,236.35,2.01,213.0,91705.0
20130101:1500,4.2,63.36,14.0,0.0,14.0,242.32,2.09,217.0,91745.0
20130101:1600,3.79,67.06,0.0,-0.0,0.0,248.28,2.17,221.0,91784.0
20130101:1700,3.38,70.76,0.0,-0.0,0.0,254.25,2.25,224.0,91823.0
20130101:1800,3.1,74.27,0.0,-0.0,0.0,261.82,2.0,226.0,91859.0
20130101:1900,2.83,77.79,0.0,-0.0,0.0,269.38,1.75,228.0,91895.0
20130101:2000,2.55,81.3,0.0,-0.0,0.0,276.95,1.5,230.0,91931.0
20130101:2100,2.4,84.48,0.0,-0.0,0.0,281.53,1.33,254.0,91974.0
20130101:2200,2.26,87.67,0.0,-0.0,0.0,286.12,1.16,278.0,92016.0
20130101:2300,2.12,90.85,0.0,-0.0,0.0,290.7,0.99,302.0,92058.0
20130102:0000,2.24,92.43,0.0,-0.0,0.0,294.08,0.99,318.0,92106.0
20130102:0100,2.37,94.02,0.0,-0.0,0.0,297.47,0.99,333.0,92154.0
20130102:0200,2.5,95.6,0.0,-0.0,0.0,300.85,0.99,348.0,92203.0
20130102:0300,2.37,96.43,0.0,-0.0,0.0,300.47,1.2,348.0,92254.0
20130102:0400,2.24,97.26,0.0,-0.0,0.0,300.08,1.4,347.0,92305.0
20130102:0500,2.12,98.09,0.0,-0.0,0.0,299.7,1.6,347.0,92356.0
20130102:0600,2.29,97.81,0.0,-0.0,0.0,298.45,1.55,348.0,92447.0
20130102:0700,2.46,97.54,0.0,-0.0,0.0,297.2,1.5,349.0,92537.0
20130102:0800,2.64,97.26,52.0,0.0,52.0,295.95,1.45,350.0,92628.0
20130102:0900,2.89,93.19,93.0,0.0,93.0,294.75,1.54,352.0,92691.0
20130102:1000,3.15,89.12,101.0,0.0,101.0,293.55,1.64,354.0,92754.0
20130102:1100,3.4,85.05,209.0,133.47,164.0,292.35,1.74,355.0,92817.0
20130102:1200,3.45,83.11,92.0,0.0,92.0,289.32,1.55,0.0,92890.0
20130102:1300,3.5,81.17,66.0,0.0,66.0,286.28,1.37,5.0,92962.0
20130102:1400,3.55,79.23,67.0,0.0,67.0,283.25,1.19,10.0,93034.0
20130102:1500,3.11,84.04,3.0,0.0,3.0,283.47,1.04,11.0,93107.0
20130102:1600,2.67,88.86,0.0,-0.0,0.0,283.68,0.89,11.0,93179.0
20130102:1700,2.23,93.67,0.0,-0.0,0.0,283.9,0.74,12.0,93251.0
20130102:1800,1.42,93.93,0.0,-0.0,0.0,286.32,1.03,8.0,93324.0
20130102:1900,0.61,94.2,0.0,-0.0,0.0,288.73,1.31,4.0,93396.0
20130102:2000,-0.2,94.46,0.0,-0.0,0.0,291.15,1.6,1.0,93468.0
20130102:2100,-0.68,94.17,0.0,-0.0,0.0,286.48,1.66,355.0,93489.0
20130102:2200,-1.16,93.89,0.0,-0.0,0.0,281.82,1.72,349.0,93511.0
20130102:2300,-1.64,93.6,0.0,-0.0,0.0,277.15,1.78,344.0,93532.0
20130103:0000,-1.58,92.96,0.0,-0.0,0.0,274.37,1.84,336.0,93538.0
20130103:0100,-1.52,92.33,0.0,-0.0,0.0,271.58,1.9,329.0,93544.0
20130103:0200,-1.46,91.69,0.0,-0.0,0.0,268.8,1.96,321.0,93550.0
20130103:0300,-1.59,91.23,0.0,-0.0,0.0,261.93,2.08,325.0,93568.0
20130103:0400,-1.72,90.76,0.0,-0.0,0.0,255.07,2.21,330.0,93586.0
20130103:0500,-1.85,90.3,0.0,-0.0,0.0,248.2,2.33,334.0,93604.0
20130103:0600,-0.57,84.54,0.0,-0.0,0.0,244.1,2.23,333.0,93631.0
20130103:0700,0.71,78.78,0.0,-0.0,0.0,240.0,2.12,332.0,93658.0
20130103:0800,1.99,73.02,20.0,0.0,20.0,235.9,2.01,331.0,93685.0
20130103:0900,3.2,68.79,90.0,0.0,90.0,239.47,1.81,330.0,93685.0
20130103:1000,4.41,64.55,56.0,0.0,56.0,243.03,1.6,329.0,93685.0
20130103:1100,5.62,60.32,172.0,53.16,154.0,246.6,1.39,327.0,93685.0
20130103:1200,5.36,62.73,31.0,0.0,31.0,245.77,1.65,331.0,93713.0
20130103:1300,5.1,65.15,114.0,0.0,114.0,244.93,1.91,334.0,93740.0
20130103:1400,4.84,67.56,34.0,0.0,34.0,244.1,2.17,337.0,93767.0
20130103:1500,4.6,68.54,9.0,0.0,9.0,243.08,2.0,337.0,93785.0
20130103:1600,4.37,69.51,0.0,-0.0,0.0,242.07,1.83,338.0,93803.0
20130103:1700,4.13,70.49,0.0,-0.0,0.0,241.05,1.66,339.0,93821.0
20130103:1800,4.07,72.9,0.0,-0.0,0.0,241.63,1.6,338.0,93839.0
20130103:1900,4.0,75.3,0.0,-0.0,0.0,242.22,1.54,338.0,93857.0
20130103:2000,3.94,77.71,0.0,-0.0,0.0,242.8,1.49,337.0,93875.0
20130103:2100,3.85,82.07,0.0,-0.0,0.0,244.17,1.49,337.0,93872.0
20130103:2200,3.76,86.44,0.0,-0.0,0.0,245.53,1.48,336.0,93869.0
20130103:2300,3.67,90.8,0.0,-0.0,0.0,246.9,1.48,336.0,93866.0
20130104:0000,3.77,93.01,0.0,-0.0,0.0,247.17,1.32,338.0,93854.0
20130104:0100,3.88,95.22,0.0,-0.0,0.0,247.43,1.16,339.0,93842.0
20130104:0200,3.99,97.43,0.0,-0.0,0.0,247.7,1.01,341.0,93830.0
20130104:0300,4.04,98.09,0.0,-0.0,0.0,248.47,1.09,341.0,93824.0
20130104:0400,4.1,98.74,0.0,-0.0,0.0,249.23,1.16,341.0,93818.0
20130104:0500,4.16,99.4,0.0,-0.0,0.0,250.0,1.24,341.0,93812.0
20130104:0600,4.65,99.23,0.0,-0.0,0.0,249.73,1.22,340.0,93830.0
20130104:0700,5.14,99.06,0.0,-0.0,0.0,249.47,1.2,339.0,93848.0
20130104:0800,5.63,98.89,19.0,0.0,19.0,249.2,1.17,339.0,93866.0
20130104:0900,6.02,97.78,44.0,0.0,44.0,251.27,1.24,337.0,93851.0
20130104:1000,6.41,96.66,50.0,0.0,50.0,253.33,1.31,335.0,93836.0
20130104:1100,6.8,95.55,30.0,0.0,30.0,255.4,1.38,334.0,93821.0
20130104:1200,6.62,96.5,29.0,0.0,29.0,258.6,1.25,335.0,93791.0
20130104:1300,6.44,97.45,23.0,0.0,23.0,261.8,1.12,337.0,93761.0
20130104:1400,6.26,98.4,29.0,0.0,29.0,265.0,0.99,339.0,93731.0
20130104:1500,6.04,98.76,3.0,0.0,3.0,261.73,0.92,336.0,93722.0
20130104:1600,5.82,99.13,0.0,-0.0,0.0,258.47,0.85,334.0,93713.0
20130104:1700,5.6,99.49,0.0,-0.0,0.0,255.2,0.77,332.0,93703.0
20130104:1800,5.47,99.47,0.0,-0.0,0.0,254.08,0.87,331.0,93697.0
20130104:1900,5.33,99.45,0.0,-0.0,0.0,252.97,0.97,331.0,93691.0
20130104:2000,5.2,99.43,0.0,-0.0,0.0,251.85,1.08,330.0,93685.0
20130104:2100,5.1,99.46,0.0,-0.0,0.0,252.03,1.13,329.0,93631.0
20130104:2200,5.01,99.48,0.0,-0.0,0.0,252.22,1.19,328.0,93577.0
20130104:2300,4.92,99.51,0.0,-0.0,0.0,252.4,1.24,327.0,93523.0
20130105:0000,4.9,99.57,0.0,-0.0,0.0,253.55,1.38,328.0,93496.0
20130105:0100,4.88,99.62,0.0,-0.0,0.0,254.7,1.52,330.0,93468.0
20130105:0200,4.87,99.68,0.0,-0.0,0.0,255.85,1.66,331.0,93441.0
20130105:0300,4.74,99.65,0.0,-0.0,0.0,256.17,1.58,332.0,93429.0
20130105:0400,4.62,99.61,0.0,-0.0,0.0,256.48,1.51,332.0,93417.0
20130105:0500,4.5,99.58,0.0,-0.0,0.0,256.8,1.43,333.0,93405.0
20130105:0600,4.88,98.97,0.0,-0.0,0.0,257.0,1.56,334.0,93417.0
20130105:0700,5.26,98.35,0.0,-0.0,0.0,257.2,1.69,334.0,93429.0
20130105:0800,5.64,97.74,30.0,0.0,30.0,257.4,1.82,335.0,93441.0
20130105:0900,5.94,96.38,76.0,0.0,76.0,258.57,1.68,335.0,93423.0
20130105:1000,6.25,95.02,52.0,0.0,52.0,259.73,1.54,336.0,93405.0
20130105:1100,6.56,93.66,30.0,0.0,30.0,260.9,1.41,337.0,93387.0
20130105:1200,6.33,94.85,47.0,0.0,47.0,261.77,1.38,337.0,93390.0
20130105:1300,6.11,96.05,24.0,0.0,24.0,262.63,1.35,336.0,93393.0
20130105:1400,5.88,97.24,16.0,0.0,16.0,263.5,1.32,336.0,93396.0
20130105:1500,5.58,97.64,3.0,0.0,3.0,260.18,1.26,336.0,93417.0
20130105:1600,5.28,98.03,0.0,-0.0,0.0,256.87,1.2,337.0,93438.0
20130105:1700,4.98,98.43,0.0,-0.0,0.0,253.55,1.14,337.0,93459.0
20130105:1800,4.75,98.61,0.0,-0.0,0.0,251.77,1.07,338.0,93468.0
20130105:1900,4.53,98.78,0.0,-0.0,0.0,249.98,1.0,338.0,93477.0
20130105:2000,4.3,98.96,0.0,-0.0,0.0,248.2,0.92,338.0,93486.0
20130105:2100,4.21,98.85,0.0,-0.0,0.0,247.65,0.87,338.0,93471.0
20130105:2200,4.13,98.73,0.0,-0.0,0.0,247.1,0.82,338.0,93456.0
20130105:2300,4.05,98.62,0.0,-0.0,0.0,246.55,0.77,338.0,93441.0
20130106:0000,4.01,98.43,0.0,-0.0,0.0,248.73,0.87,337.0,93441.0
20130106:0100,3.97,98.25,0.0,-0.0,0.0,250.92,0.97,336.0,93441.0
20130106:0200,3.93,98.06,0.0,-0.0,0.0,253.1,1.06,336.0,93441.0
20130106:0300,3.78,98.26,0.0,-0.0,0.0,251.0,1.18,334.0,93441.0
20130106:0400,3.63,98.46,0.0,-0.0,0.0,248.9,1.3,332.0,93441.0
20130106:0500,3.48,98.66,0.0,-0.0,0.0,246.8,1.42,330.0,93441.0
20130106:0600,4.17,96.42,0.0,-0.0,0.0,245.85,1.7,331.0,93387.0
20130106:0700,4.87,94.17,0.0,-0.0,0.0,244.9,1.97,331.0,93333.0
20130106:0800,5.57,91.93,43.0,0.0,43.0,243.95,2.25,331.0,93279.0
20130106:0900,6.52,87.69,27.0,0.0,27.0,245.3,2.14,330.0,93200.0
20130106:1000,7.47,83.45,27.0,0.0,27.0,246.65,2.03,328.0,93122.0
20130106:1100,8.42,79.21,31.0,0.0,31.0,248.0,1.92,327.0,93043.0
20130106:1200,7.76,81.51,33.0,0.0,33.0,248.88,1.9,329.0,93049.0
20130106:1300,7.11,83.81,101.0,0.0,101.0,249.77,1.88,331.0,93056.0
20130106:1400,6.45,86.11,15.0,0.0,15.0,250.65,1.86,333.0,93062.0
20130106:1500,5.65,90.14,4.0,0.0,4.0,246.92,1.65,333.0,93098.0
20130106:1600,4.84,94.16,0.0,-0.0,0.0,243.18,1.44,333.0,93134.0
20130106:1700,4.04,98.19,0.0,-0.0,0.0,239.45,1.23,333.0,93170.0
20130106:1800,3.83,97.42,0.0,-0.0,0.0,237.85,1.31,333.0,93188.0
20130106:1900,3.61,96.66,0.0,-0.0,0.0,236.25,1.4,333.0,93206.0
20130106:2000,3.4,95.89,0.0,-0.0,0.0,234.65,1.49,333.0,93224.0
20130106:2100,3.27,96.87,0.0,-0.0,0.0,233.4,1.45,335.0,93215.0
20130106:2200,3.14,97.84,0.0,-0.0,0.0,232.15,1.42,337.0,93206.0
20130106:2300,3.01,98.82,0.0,-0.0,0.0,230.9,1.38,339.0,93197.0
20130107:0000,3.19,98.42,0.0,-0.0,0.0,233.0,1.28,340.0,93197.0
20130107:0100,3.37,98.03,0.0,-0.0,0.0,235.1,1.18,342.0,93197.0
20130107:0200,3.55,97.63,0.0,-0.0,0.0,237.2,1.08,343.0,93197.0
20130107:0300,3.49,97.98,0.0,-0.0,0.0,238.08,1.23,344.0,93173.0
20130107:0400,3.43,98.34,0.0,-0.0,0.0,238.97,1.39,345.0,93149.0
20130107:0500,3.37,98.69,0.0,-0.0,0.0,239.85,1.54,347.0,93125.0
