B:Ln
47.258:10.093
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,-1.44,64.29,0.0,-0.0,0.0,216.06,3.14,183.0,87291.0
20130101:0100,-1.35,62.43,0.0,-0.0,0.0,216.13,3.3,183.0,87249.0
20130101:0200,-1.25,60.57,0.0,-0.0,0.0,216.19,3.46,182.0,87206.0
20130101:0300,-1.16,58.71,0.0,-0.0,0.0,216.26,3.62,184.0,87177.0
20130101:0400,-1.06,56.85,0.0,-0.0,0.0,216.33,3.79,185.0,87148.0
20130101:0500,-0.96,54.99,0.0,-0.0,0.0,216.4,3.95,186.0,87120.0
20130101:0600,-0.87,53.14,0.0,-0.0,0.0,216.46,4.11,187.0,87114.0
20130101:0700,-0.77,51.28,0.0,-0.0,0.0,216.53,4.27,188.0,87108.0
20130101:0800,0.38,55.86,51.0,0.0,51.0,227.55,3.17,188.0,87103.0
20130101:0900,1.01,54.8,66.0,0.0,66.0,233.57,2.8,191.0,87054.0
20130101:1000,1.64,53.73,135.0,0.0,135.0,239.58,2.43,193.0,87005.0
20130101:1100,2.27,52.67,317.0,680.06,88.0,245.6,2.06,196.0,86957.0
20130101:1200,1.85,55.0,21.0,0.0,21.0,242.52,2.04,202.0,87005.0
20130101:1300,1.43,57.33,22.0,0.0,22.0,239.43,2.03,207.0,87054.0
20130101:1400,1.01,59.66,37.0,0.0,37.0,236.35,2.01,213.0,87103.0
20130101:1500,0.62,63.36,12.0,0.0,12.0,242.32,2.09,217.0,87140.0
20130101:1600,0.23,67.06,0.0,-0.0,0.0,248.28,2.17,221.0,87177.0
20130101:1700,-0.17,70.76,0.0,-0.0,0.0,254.25,2.25,224.0,87214.0
20130101:1800,-0.31,74.27,0.0,-0.0,0.0,261.82,2.0,226.0,87249.0
20130101:1900,-0.46,77.79,0.0,-0.0,0.0,269.38,1.75,228.0,87283.0
20130101:2000,-0.61,81.3,0.0,-0.0,0.0,276.95,1.5,230.0,87317.0
20130101:2100,-0.75,84.48,0.0,-0.0,0.0,281.53,1.33,254.0,87357.0
20130101:2200,-0.89,87.67,0.0,-0.0,0.0,286.12,1.16,278.0,87397.0
20130101:2300,-1.03,90.85,0.0,-0.0,0.0,290.7,0.99,302.0,87437.0
20130102:0000,-0.85,92.43,0.0,-0.0,0.0,294.08,0.99,318.0,87483.0
20130102:0100,-0.66,94.02,0.0,-0.0,0.0,297.47,0.99,333.0,87529.0
20130102:0200,-0.48,95.6,0.0,-0.0,0.0,300.85,0.99,348.0,87575.0
20130102:0300,-0.55,96.43,0.0,-0.0,0.0,300.47,1.2,348.0,87624.0
20130102:0400,-0.63,97.26,0.0,-0.0,0.0,300.08,1.4,347.0,87672.0
20130102:0500,-0.71,98.09,0.0,-0.0,0.0,299.7,1.6,347.0,87721.0
20130102:0600,-0.56,97.81,0.0,-0.0,0.0,298.45,1.55,348.0,87807.0
20130102:0700,-0.41,97.54,0.0,-0.0,0.0,297.2,1.5,349.0,87893.0
20130102:0800,-0.27,97.26,51.0,0.0,51.0,295.95,1.45,350.0,87978.0
20130102:0900,-0.17,93.19,26.0,0.0,26.0,294.75,1.54,352.0,88039.0
20130102:1000,-0.07,89.12,138.0,0.0,138.0,293.55,1.64,354.0,88099.0
20130102:1100,0.04,85.05,302.0,562.0,112.0,292.35,1.74,355.0,88159.0
20130102:1200,0.01,83.11,98.0,0.0,98.0,289.32,1.55,0.0,88228.0
20130102:1300,-0.02,81.17,49.0,0.0,49.0,286.28,1.37,5.0,88296.0
20130102:1400,-0.05,79.23,35.0,0.0,35.0,283.25,1.19,10.0,88365.0
20130102:1500,-0.47,84.04,3.0,0.0,3.0,283.47,1.04,11.0,88434.0
20130102:1600,-0.89,88.86,0.0,-0.0,0.0,283.68,0.89,11.0,88502.0
20130102:1700,-1.32,93.67,0.0,-0.0,0.0,283.9,0.74,12.0,88571.0
20130102:1800,-2.0,93.93,0.0,-0.0,0.0,286.32,1.03,8.0,88640.0
20130102:1900,-2.68,94.2,0.0,-0.0,0.0,288.73,1.31,4.0,88708.0
20130102:2000,-3.36,94.46,0.0,-0.0,0.0,291.15,1.6,1.0,88777.0
20130102:2100,-3.84,94.17,0.0,-0.0,0.0,286.48,1.66,355.0,88797.0
20130102:2200,-4.31,93.89,0.0,-0.0,0.0,281.82,1.72,349.0,88817.0
20130102:2300,-4.79,93.6,0.0,-0.0,0.0,277.15,1.78,344.0,88837.0
20130103:0000,-4.67,92.96,0.0,-0.0,0.0,274.37,1.84,336.0,88843.0
20130103:0100,-4.55,92.33,0.0,-0.0,0.0,271.58,1.9,329.0,88849.0
20130103:0200,-4.44,91.69,0.0,-0.0,0.0,268.8,1.96,321.0,88854.0
20130103:0300,-4.52,91.23,0.0,-0.0,0.0,261.93,2.08,325.0,88872.0
20130103:0400,-4.6,90.76,0.0,-0.0,0.0,255.07,2.21,330.0,88889.0
20130103:0500,-4.68,90.3,0.0,-0.0,0.0,248.2,2.33,334.0,88906.0
20130103:0600,-3.42,84.54,0.0,-0.0,0.0,244.1,2.23,333.0,88932.0
20130103:0700,-2.17,78.78,0.0,-0.0,0.0,240.0,2.12,332.0,88957.0
20130103:0800,-0.92,73.02,36.0,0.0,36.0,235.9,2.01,331.0,88983.0
20130103:0900,0.14,68.79,81.0,0.0,81.0,239.47,1.81,330.0,88983.0
20130103:1000,1.2,64.55,115.0,0.0,115.0,243.03,1.6,329.0,88983.0
20130103:1100,2.26,60.32,181.0,64.79,159.0,246.6,1.39,327.0,88983.0
20130103:1200,1.92,62.73,29.0,0.0,29.0,245.77,1.65,331.0,89009.0
20130103:1300,1.58,65.15,95.0,0.0,95.0,244.93,1.91,334.0,89035.0
20130103:1400,1.24,67.56,16.0,0.0,16.0,244.1,2.17,337.0,89061.0
20130103:1500,1.02,68.54,6.0,0.0,6.0,243.08,2.0,337.0,89078.0
20130103:1600,0.8,69.51,0.0,-0.0,0.0,242.07,1.83,338.0,89095.0
20130103:1700,0.58,70.49,0.0,-0.0,0.0,241.05,1.66,339.0,89112.0
20130103:1800,0.65,72.9,0.0,-0.0,0.0,241.63,1.6,338.0,89129.0
20130103:1900,0.72,75.3,0.0,-0.0,0.0,242.22,1.54,338.0,89146.0
20130103:2000,0.78,77.71,0.0,-0.0,0.0,242.8,1.49,337.0,89164.0
20130103:2100,0.69,82.07,0.0,-0.0,0.0,244.17,1.49,337.0,89161.0
20130103:2200,0.61,86.44,0.0,-0.0,0.0,245.53,1.48,336.0,89158.0
20130103:2300,0.52,90.8,0.0,-0.0,0.0,246.9,1.48,336.0,89155.0
20130104:0000,0.68,93.01,0.0,-0.0,0.0,247.17,1.32,338.0,89144.0
20130104:0100,0.85,95.22,0.0,-0.0,0.0,247.43,1.16,339.0,89132.0
20130104:0200,1.01,97.43,0.0,-0.0,0.0,247.7,1.01,341.0,89121.0
20130104:0300,1.12,98.09,0.0,-0.0,0.0,248.47,1.09,341.0,89115.0
20130104:0400,1.23,98.74,0.0,-0.0,0.0,249.23,1.16,341.0,89109.0
20130104:0500,1.33,99.4,0.0,-0.0,0.0,250.0,1.24,341.0,89103.0
20130104:0600,1.8,99.23,0.0,-0.0,0.0,249.73,1.22,340.0,89121.0
20130104:0700,2.26,99.06,0.0,-0.0,0.0,249.47,1.2,339.0,89138.0
20130104:0800,2.72,98.89,27.0,0.0,27.0,249.2,1.17,339.0,89155.0
20130104:0900,2.96,97.78,66.0,0.0,66.0,251.27,1.24,337.0,89141.0
20130104:1000,3.2,96.66,148.0,0.0,148.0,253.33,1.31,335.0,89126.0
20130104:1100,3.44,95.55,30.0,0.0,30.0,255.4,1.38,334.0,89112.0
20130104:1200,3.18,96.5,29.0,0.0,29.0,258.6,1.25,335.0,89083.0
20130104:1300,2.92,97.45,24.0,0.0,24.0,261.8,1.12,337.0,89055.0
20130104:1400,2.66,98.4,45.0,0.0,45.0,265.0,0.99,339.0,89026.0
20130104:1500,2.46,98.76,3.0,0.0,3.0,261.73,0.92,336.0,89018.0
20130104:1600,2.26,99.13,0.0,-0.0,0.0,258.47,0.85,334.0,89009.0
20130104:1700,2.05,99.49,0.0,-0.0,0.0,255.2,0.77,332.0,89000.0
20130104:1800,2.05,99.47,0.0,-0.0,0.0,254.08,0.87,331.0,88995.0
20130104:1900,2.05,99.45,0.0,-0.0,0.0,252.97,0.97,331.0,88989.0
20130104:2000,2.04,99.43,0.0,-0.0,0.0,251.85,1.08,330.0,88983.0
20130104:2100,1.95,99.46,0.0,-0.0,0.0,252.03,1.13,329.0,88932.0
20130104:2200,1.86,99.48,0.0,-0.0,0.0,252.22,1.19,328.0,88880.0
20130104:2300,1.77,99.51,0.0,-0.0,0.0,252.4,1.24,327.0,88829.0
20130105:0000,1.81,99.57,0.0,-0.0,0.0,253.55,1.38,328.0,88803.0
20130105:0100,1.85,99.62,0.0,-0.0,0.0,254.7,1.52,330.0,88777.0
20130105:0200,1.89,99.68,0.0,-0.0,0.0,255.85,1.66,331.0,88751.0
20130105:0300,1.82,99.65,0.0,-0.0,0.0,256.17,1.58,332.0,88740.0
20130105:0400,1.75,99.61,0.0,-0.0,0.0,256.48,1.51,332.0,88728.0
20130105:0500,1.67,99.58,0.0,-0.0,0.0,256.8,1.43,333.0,88717.0
20130105:0600,2.03,98.97,0.0,-0.0,0.0,257.0,1.56,334.0,88728.0
20130105:0700,2.38,98.35,0.0,-0.0,0.0,257.2,1.69,334.0,88740.0
20130105:0800,2.73,97.74,50.0,0.0,50.0,257.4,1.82,335.0,88751.0
20130105:0900,2.89,96.38,103.0,0.0,103.0,258.57,1.68,335.0,88734.0
20130105:1000,3.04,95.02,59.0,0.0,59.0,259.73,1.54,336.0,88717.0
20130105:1100,3.2,93.66,31.0,0.0,31.0,260.9,1.41,337.0,88700.0
20130105:1200,2.89,94.85,29.0,0.0,29.0,261.77,1.38,337.0,88703.0
20130105:1300,2.58,96.05,24.0,0.0,24.0,262.63,1.35,336.0,88706.0
20130105:1400,2.28,97.24,26.0,0.0,26.0,263.5,1.32,336.0,88708.0
20130105:1500,2.0,97.64,3.0,0.0,3.0,260.18,1.26,336.0,88728.0
20130105:1600,1.72,98.03,0.0,-0.0,0.0,256.87,1.2,337.0,88748.0
20130105:1700,1.43,98.43,0.0,-0.0,0.0,253.55,1.14,337.0,88769.0
20130105:1800,1.34,98.61,0.0,-0.0,0.0,251.77,1.07,338.0,88777.0
20130105:1900,1.24,98.78,0.0,-0.0,0.0,249.98,1.0,338.0,88786.0
20130105:2000,1.14,98.96,0.0,-0.0,0.0,248.2,0.92,338.0,88794.0
20130105:2100,1.06,98.85,0.0,-0.0,0.0,247.65,0.87,338.0,88780.0
20130105:2200,0.98,98.73,0.0,-0.0,0.0,247.1,0.82,338.0,88766.0
20130105:2300,0.9,98.62,0.0,-0.0,0.0,246.55,0.77,338.0,88751.0
20130106:0000,0.92,98.43,0.0,-0.0,0.0,248.73,0.87,337.0,88751.0
20130106:0100,0.94,98.25,0.0,-0.0,0.0,250.92,0.97,336.0,88751.0
20130106:0200,0.95,98.06,0.0,-0.0,0.0,253.1,1.06,336.0,88751.0
20130106:0300,0.85,98.26,0.0,-0.0,0.0,251.0,1.18,334.0,88751.0
20130106:0400,0.75,98.46,0.0,-0.0,0.0,248.9,1.3,332.0,88751.0
20130106:0500,0.65,98.66,0.0,-0.0,0.0,246.8,1.42,330.0,88751.0
20130106:0600,1.32,96.42,0.0,-0.0,0.0,245.85,1.7,331.0,88700.0
20130106:0700,1.99,94.17,0.0,-0.0,0.0,244.9,1.97,331.0,88648.0
20130106:0800,2.66,91.93,45.0,0.0,45.0,243.95,2.25,331.0,88597.0
20130106:0900,3.46,87.69,20.0,0.0,20.0,245.3,2.14,330.0,88522.0
20130106:1000,4.26,83.45,27.0,0.0,27.0,246.65,2.03,328.0,88448.0
20130106:1100,5.06,79.21,31.0,0.0,31.0,248.0,1.92,327.0,88374.0
20130106:1200,4.32,81.51,40.0,0.0,40.0,248.88,1.9,329.0,88379.0
20130106:1300,3.58,83.81,105.0,0.0,105.0,249.77,1.88,331.0,88385.0
20130106:1400,2.85,86.11,15.0,0.0,15.0,250.65,1.86,333.0,88391.0
20130106:1500,2.06,90.14,4.0,0.0,4.0,246.92,1.65,333.0,88425.0
20130106:1600,1.28,94.16,0.0,-0.0,0.0,243.18,1.44,333.0,88459.0
20130106:1700,0.49,98.19,0.0,-0.0,0.0,239.45,1.23,333.0,88494.0
20130106:1800,0.41,97.42,0.0,-0.0,0.0,237.85,1.31,333.0,88511.0
20130106:1900,0.33,96.66,0.0,-0.0,0.0,236.25,1.4,333.0,88528.0
20130106:2000,0.24,95.89,0.0,-0.0,0.0,234.65,1.49,333.0,88545.0
20130106:2100,0.11,96.87,0.0,-0.0,0.0,233.4,1.45,335.0,88537.0
20130106:2200,-0.01,97.84,0.0,-0.0,0.0,232.15,1.42,337.0,88528.0
20130106:2300,-0.14,98.82,0.0,-0.0,0.0,230.9,1.38,339.0,88519.0
20130107:0000,0.1,98.42,0.0,-0.0,0.0,233.0,1.28,340.0,88519.0
20130107:0100,0.34,98.03,0.0,-0.0,0.0,235.1,1.18,342.0,88519.0
20130107:0200,0.57,97.63,0.0,-0.0,0.0,237.2,1.08,343.0,88519.0
20130107:0300,0.56,97.98,0.0,-0.0,0.0,238.08,1.23,344.0,88497.0
20130107:0400,0.55,98.34,0.0,-0.0,0.0,238.97,1.39,345.0,88474.0
20130107:0500,0.54,98.69,0.0,-0.0,0.0,239.85,1.54,347.0,88451.0
20130107:0600,1.13,96.34,0.0,-0.0,0.0,240.37,1.37,345.0,88459.0
20130107:0700,1.71,94.0,0.0,-0.0,0.0,240.88,1.2,344.0,88468.0
20130107:0800,2.29,91.65,17.0,0.0,17.0,241.4,1.03,343.0,88477.0
20130107:0900,3.04,85.55,89.0,0.0,89.0,241.05,0.94,343.0,88425.0
20130107:1000,3.79,79.45,43.0,0.0,43.0,240.7,0.85,343.0,88374.0
20130107:1100,4.54,73.35,231.0,181.76,168.0,240.35,0.76,343.0,88322.0
20130107:1200,4.33,76.51,159.0,35.73,147.0,240.35,0.79,344.0,88325.0
20130107:1300,4.12,79.66,24.0,0.0,24.0,240.35,0.81,344.0,88328.0
20130107:1400,3.92,82.82,15.0,0.0,15.0,240.35,0.84,345.0,88331.0
20130107:1500,2.84,85.0,4.0,0.0,4.0,238.98,1.33,344.0,88345.0
20130107:1600,1.76,87.19,0.0,-0.0,0.0,237.62,1.82,344.0,88359.0
20130107:1700,0.68,89.37,0.0,-0.0,0.0,236.25,2.3,343.0,88374.0
20130107:1800,0.27,89.14,0.0,-0.0,0.0,237.12,2.11,341.0,88359.0
20130107:1900,-0.14,88.9,0.0,-0.0,0.0,237.98,1.93,339.0,88345.0
20130107:2000,-0.56,88.67,0.0,-0.0,0.0,238.85,1.74,338.0,88331.0
20130107:2100,-0.95,89.81,0.0,-0.0,0.0,239.12,1.61,335.0,88288.0
20130107:2200,-1.33,90.95,0.0,-0.0,0.0,239.38,1.49,332.0,88245.0
20130107:2300,-1.72,92.09,0.0,-0.0,0.0,239.65,1.37,329.0,88202.0
20130108:0000,-1.12,89.87,0.0,-0.0,0.0,237.13,1.69,330.0,88176.0
20130108:0100,-0.51,87.65,0.0,-0.0,0.0,234.62,2.02,331.0,88150.0
20130108:0200,0.09,85.43,0.0,-0.0,0.0,232.1,2.34,332.0,88124.0
20130108:0300,0.35,81.76,0.0,-0.0,0.0,234.55,2.24,331.0,88093.0
20130108:0400,0.61,78.1,0.0,-0.0,0.0,237.0,2.13,331.0,88061.0
20130108:0500,0.87,74.43,0.0,-0.0,0.0,239.45,2.03,331.0,88030.0
20130108:0600,1.5,73.37,0.0,-0.0,0.0,245.98,1.94,330.0,88039.0
20130108:0700,2.13,72.3,0.0,-0.0,0.0,252.52,1.85,329.0,88047.0
20130108:0800,2.76,71.24,12.0,0.0,12.0,259.05,1.77,328.0,88056.0
20130108:0900,4.43,62.73,112.0,0.0,112.0,258.75,1.66,324.0,88041.0
20130108:1000,6.1,54.23,93.0,0.0,93.0,258.45,1.55,320.0,88027.0
20130108:1100,7.77,45.72,31.0,0.0,31.0,258.15,1.45,316.0,88013.0
20130108:1200,6.8,51.96,30.0,0.0,30.0,258.62,1.73,318.0,88013.0
20130108:1300,5.83,58.21,34.0,0.0,34.0,259.08,2.02,320.0,88013.0
20130108:1400,4.86,64.45,15.0,0.0,15.0,259.55,2.3,322.0,88013.0
20130108:1500,3.95,66.59,4.0,0.0,4.0,258.18,2.2,327.0,88047.0
20130108:1600,3.04,68.72,0.0,-0.0,0.0,256.82,2.09,332.0,88082.0
20130108:1700,2.12,70.86,0.0,-0.0,0.0,255.45,1.99,336.0,88116.0
20130108:1800,1.56,71.64,0.0,-0.0,0.0,258.55,1.92,338.0,88110.0
20130108:1900,0.99,72.41,0.0,-0.0,0.0,261.65,1.85,340.0,88104.0
20130108:2000,0.42,73.19,0.0,-0.0,0.0,264.75,1.78,341.0,88099.0
20130108:2100,0.02,74.04,0.0,-0.0,0.0,262.48,1.81,341.0,88067.0
20130108:2200,-0.37,74.89,0.0,-0.0,0.0,260.22,1.84,341.0,88036.0
20130108:2300,-0.77,75.74,0.0,-0.0,0.0,257.95,1.88,340.0,88004.0
20130109:0000,-0.82,77.13,0.0,-0.0,0.0,254.77,2.07,340.0,87981.0
20130109:0100,-0.87,78.53,0.0,-0.0,0.0,251.58,2.27,339.0,87958.0
20130109:0200,-0.92,79.92,0.0,-0.0,0.0,248.4,2.47,338.0,87936.0
20130109:0300,-1.33,81.53,0.0,-0.0,0.0,247.38,2.33,340.0,87898.0
20130109:0400,-1.74,83.15,0.0,-0.0,0.0,246.37,2.19,342.0,87861.0
20130109:0500,-2.15,84.76,0.0,-0.0,0.0,245.35,2.06,344.0,87824.0
20130109:0600,-1.29,82.64,0.0,-0.0,0.0,245.1,1.98,345.0,87804.0
20130109:0700,-0.43,80.52,0.0,-0.0,0.0,244.85,1.9,346.0,87784.0
20130109:0800,0.43,78.4,18.0,0.0,18.0,244.6,1.82,347.0,87764.0
20130109:0900,2.57,68.98,113.0,0.0,113.0,247.57,1.67,316.0,87695.0
20130109:1000,4.71,59.55,153.0,0.0,153.0,250.53,1.53,284.0,87626.0
20130109:1100,6.86,50.13,220.0,139.66,171.0,253.5,1.38,253.0,87558.0
20130109:1200,5.76,54.43,323.0,692.8,87.0,254.37,1.59,240.0,87512.0
