B:Ln
47.238:9.896
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-4.65,83.86,0.0,-0.0,0.0,220.49,1.08,34.0,93342.0
20150101:0100,-4.75,84.09,0.0,-0.0,0.0,217.88,1.21,34.0,93333.0
20150101:0200,-4.86,84.32,0.0,-0.0,0.0,215.27,1.33,34.0,93323.0
20150101:0300,-4.96,84.55,0.0,-0.0,0.0,212.67,1.45,33.0,93299.0
20150101:0400,-5.07,84.78,0.0,-0.0,0.0,210.06,1.57,33.0,93275.0
20150101:0500,-5.17,85.02,0.0,-0.0,0.0,207.46,1.7,32.0,93251.0
20150101:0600,-5.28,85.25,0.0,-0.0,0.0,204.85,1.82,35.0,93242.0
20150101:0700,-5.38,85.48,0.0,-0.0,0.0,202.25,1.94,38.0,93233.0
20150101:0800,-2.09,78.11,53.0,0.0,53.0,213.7,1.92,40.0,93224.0
20150101:0900,0.32,73.78,108.0,0.0,108.0,219.17,1.44,28.0,93218.0
20150101:1000,2.74,69.46,133.0,0.0,133.0,224.63,0.96,17.0,93212.0
20150101:1100,5.15,65.13,91.0,0.0,91.0,230.1,0.48,5.0,93206.0
20150101:1200,5.03,69.57,94.0,0.0,94.0,231.7,0.58,9.0,93224.0
20150101:1300,4.91,74.01,87.0,0.0,87.0,233.3,0.69,13.0,93242.0
20150101:1400,4.79,78.45,64.0,11.14,62.0,234.9,0.79,17.0,93260.0
20150101:1500,3.46,79.82,14.0,0.0,14.0,233.72,1.0,25.0,93239.0
20150101:1600,2.13,81.19,0.0,-0.0,0.0,232.53,1.22,33.0,93218.0
20150101:1700,0.81,82.56,0.0,-0.0,0.0,231.35,1.43,41.0,93197.0
20150101:1800,-0.08,83.84,0.0,-0.0,0.0,231.2,1.28,44.0,93185.0
20150101:1900,-0.96,85.13,0.0,-0.0,0.0,231.05,1.12,47.0,93173.0
20150101:2000,-1.85,86.41,0.0,-0.0,0.0,230.9,0.97,49.0,93161.0
