B:Ln
47.020:9.974
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,-3.92,86.19,0.0,-0.0,0.0,211.91,1.69,34.0,93534.0
20150101:0100,-4.43,86.07,0.0,-0.0,0.0,210.75,1.77,34.0,93525.0
20150101:0200,-4.93,85.95,0.0,-0.0,0.0,209.58,1.85,34.0,93516.0
20150101:0300,-5.44,85.83,0.0,-0.0,0.0,208.41,1.92,33.0,93492.0
20150101:0400,-5.95,85.71,0.0,-0.0,0.0,207.25,2.0,33.0,93467.0
20150101:0500,-6.45,85.59,0.0,-0.0,0.0,206.08,2.07,32.0,93443.0
20150101:0600,-6.96,85.47,0.0,-0.0,0.0,204.91,2.15,35.0,93434.0
20150101:0700,-7.46,85.35,0.0,-0.0,0.0,203.75,2.22,38.0,93425.0
20150101:0800,-2.51,78.11,44.0,0.0,44.0,213.7,2.37,40.0,93416.0
20150101:0900,-0.22,73.78,26.0,0.0,26.0,219.17,1.9,28.0,93410.0
20150101:1000,2.06,69.46,27.0,0.0,27.0,224.63,1.43,17.0,93404.0
20150101:1100,4.35,65.13,31.0,0.0,31.0,230.1,0.97,5.0,93398.0
20150101:1200,4.0,69.57,29.0,0.0,29.0,231.7,1.2,9.0,93416.0
20150101:1300,3.66,74.01,24.0,0.0,24.0,233.3,1.44,13.0,93434.0
20150101:1400,3.32,78.45,29.0,0.0,29.0,234.9,1.68,17.0,93452.0
20150101:1500,1.89,79.82,3.0,0.0,3.0,233.72,1.69,25.0,93431.0
20150101:1600,0.45,81.19,0.0,-0.0,0.0,232.53,1.7,33.0,93410.0
20150101:1700,-0.98,82.56,0.0,-0.0,0.0,231.35,1.71,41.0,93389.0
20150101:1800,-1.8,83.84,0.0,-0.0,0.0,231.2,1.59,44.0,93377.0
20150101:1900,-2.62,85.13,0.0,-0.0,0.0,231.05,1.47,47.0,93365.0
20150101:2000,-3.44,86.41,0.0,-0.0,0.0,230.9,1.35,49.0,93353.0
20150101:2100,-3.58,85.63,0.0,-0.0,0.0,230.52,1.36,57.0,93293.0
20150101:2200,-3.72,84.85,0.0,-0.0,0.0,230.13,1.36,64.0,93233.0
20150101:2300,-3.86,84.07,0.0,-0.0,0.0,229.75,1.37,71.0,93173.0
20150102:0000,-3.71,83.08,0.0,-0.0,0.0,229.4,1.39,65.0,93206.0
20150102:0100,-3.57,82.1,0.0,-0.0,0.0,229.05,1.41,59.0,93239.0
20150102:0200,-3.43,81.11,0.0,-0.0,0.0,228.7,1.43,53.0,93272.0
20150102:0300,-3.36,80.44,0.0,-0.0,0.0,228.23,1.51,48.0,93212.0
20150102:0400,-3.29,79.78,0.0,-0.0,0.0,227.77,1.58,44.0,93152.0
20150102:0500,-3.21,79.11,0.0,-0.0,0.0,227.3,1.66,39.0,93092.0
20150102:0600,-2.06,75.47,0.0,-0.0,0.0,227.38,1.47,31.0,93089.0
20150102:0700,-0.9,71.83,0.0,-0.0,0.0,227.47,1.28,22.0,93086.0
20150102:0800,0.25,68.19,27.0,0.0,27.0,227.55,1.09,13.0,93083.0
20150102:0900,2.25,65.64,77.0,0.0,77.0,233.5,1.02,3.0,93077.0
20150102:1000,4.25,63.1,37.0,0.0,37.0,239.45,0.94,352.0,93071.0
20150102:1100,6.25,60.55,20.0,0.0,20.0,245.4,0.87,341.0,93065.0
20150102:1200,5.77,65.23,33.0,0.0,33.0,250.47,1.0,345.0,93092.0
20150102:1300,5.29,69.91,101.0,0.0,101.0,255.53,1.13,348.0,93119.0
20150102:1400,4.81,74.59,76.0,0.0,76.0,260.6,1.26,352.0,93146.0
20150102:1500,3.86,76.34,12.0,0.0,12.0,263.12,1.34,350.0,93200.0
20150102:1600,2.91,78.09,0.0,-0.0,0.0,265.63,1.43,349.0,93254.0
20150102:1700,1.96,79.84,0.0,-0.0,0.0,268.15,1.52,347.0,93308.0
20150102:1800,1.78,82.24,0.0,-0.0,0.0,268.32,1.42,349.0,93389.0
20150102:1900,1.59,84.65,0.0,-0.0,0.0,268.48,1.32,352.0,93470.0
20150102:2000,1.41,87.05,0.0,-0.0,0.0,268.65,1.23,354.0,93552.0
20150102:2100,1.12,88.08,0.0,-0.0,0.0,261.8,1.09,354.0,93549.0
20150102:2200,0.83,89.11,0.0,-0.0,0.0,254.95,0.94,355.0,93546.0
20150102:2300,0.53,90.14,0.0,-0.0,0.0,248.1,0.8,356.0,93543.0
20150103:0000,0.7,88.09,0.0,-0.0,0.0,246.97,0.84,357.0,93504.0
20150103:0100,0.86,86.05,0.0,-0.0,0.0,245.83,0.88,359.0,93464.0
20150103:0200,1.03,84.0,0.0,-0.0,0.0,244.7,0.92,0.0,93425.0
20150103:0300,0.81,85.48,0.0,-0.0,0.0,243.62,1.13,360.0,93377.0
20150103:0400,0.59,86.96,0.0,-0.0,0.0,242.53,1.33,360.0,93329.0
20150103:0500,0.38,88.44,0.0,-0.0,0.0,241.45,1.53,359.0,93281.0
20150103:0600,0.91,87.43,0.0,-0.0,0.0,241.93,1.68,359.0,93209.0
20150103:0700,1.43,86.41,0.0,-0.0,0.0,242.42,1.83,358.0,93137.0
20150103:0800,1.96,85.4,55.0,0.0,55.0,242.9,1.97,358.0,93065.0
20150103:0900,3.07,82.27,29.0,0.0,29.0,248.55,1.84,347.0,92947.0
20150103:1000,4.19,79.14,36.0,0.0,36.0,254.2,1.71,337.0,92830.0
20150103:1100,5.3,76.01,37.0,0.0,37.0,259.85,1.57,326.0,92713.0
20150103:1200,5.43,75.35,50.0,0.0,50.0,260.18,1.76,298.0,92526.0
20150103:1300,5.57,74.69,24.0,0.0,24.0,260.52,1.95,271.0,92340.0
20150103:1400,5.71,74.03,30.0,0.0,30.0,260.85,2.14,243.0,92153.0
20150103:1500,4.73,78.99,7.0,0.0,7.0,259.1,2.11,270.0,92175.0
20150103:1600,3.76,83.94,0.0,-0.0,0.0,257.35,2.08,297.0,92196.0
20150103:1700,2.78,88.9,0.0,-0.0,0.0,255.6,2.06,323.0,92217.0
20150103:1800,2.45,90.78,0.0,-0.0,0.0,264.27,1.89,322.0,92168.0
20150103:1900,2.11,92.67,0.0,-0.0,0.0,272.93,1.71,321.0,92120.0
20150103:2000,1.78,94.55,0.0,-0.0,0.0,281.6,1.54,320.0,92072.0
20150103:2100,1.09,96.12,0.0,-0.0,0.0,268.47,1.8,320.0,92090.0
20150103:2200,0.41,97.7,0.0,-0.0,0.0,255.33,2.06,320.0,92108.0
20150103:2300,-0.28,99.27,0.0,-0.0,0.0,242.2,2.32,320.0,92126.0
20150104:0000,-0.12,99.38,0.0,-0.0,0.0,241.57,2.33,326.0,92268.0
20150104:0100,0.03,99.49,0.0,-0.0,0.0,240.93,2.34,331.0,92409.0
20150104:0200,0.18,99.6,0.0,-0.0,0.0,240.3,2.36,337.0,92550.0
20150104:0300,-0.01,99.65,0.0,-0.0,0.0,240.18,2.18,338.0,92635.0
20150104:0400,-0.19,99.7,0.0,-0.0,0.0,240.07,2.01,339.0,92719.0
20150104:0500,-0.37,99.75,0.0,-0.0,0.0,239.95,1.83,340.0,92803.0
20150104:0600,0.32,99.37,0.0,-0.0,0.0,240.4,1.63,339.0,92899.0
20150104:0700,1.01,98.99,0.0,-0.0,0.0,240.85,1.42,339.0,92995.0
20150104:0800,1.7,98.61,49.0,0.0,49.0,241.3,1.21,338.0,93092.0
20150104:0900,1.82,94.55,90.0,0.0,90.0,240.32,1.63,338.0,93146.0
20150104:1000,1.93,90.5,141.0,0.0,141.0,239.33,2.05,338.0,93200.0
20150104:1100,2.05,86.44,141.0,0.0,141.0,238.35,2.47,338.0,93254.0
20150104:1200,1.23,82.21,97.0,0.0,97.0,236.6,2.4,340.0,93314.0
