B:Ln
47.288:9.653
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,5.6,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,96032.0
20140101:0100,5.0,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,96038.0
20140101:0200,4.39,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,96044.0
20140101:0300,3.78,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,96044.0
20140101:0400,3.17,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,96044.0
20140101:0500,2.56,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,96044.0
20140101:0600,1.96,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,96054.0
20140101:0700,1.35,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,96063.0
20140101:0800,3.85,69.25,38.0,0.0,38.0,218.75,2.43,115.0,96073.0
20140101:0900,5.89,63.63,202.0,561.48,71.0,222.2,2.2,132.0,96013.0
20140101:1000,7.93,58.01,258.0,478.98,112.0,225.65,1.98,149.0,95953.0
20140101:1100,9.96,52.39,309.0,619.11,101.0,229.1,1.75,166.0,95893.0
20140101:1200,9.41,57.07,291.0,575.99,104.0,229.4,1.93,166.0,95865.0
20140101:1300,8.85,61.75,242.0,600.04,79.0,229.7,2.11,166.0,95837.0
20140101:1400,8.3,66.43,157.0,659.09,38.0,230.0,2.29,166.0,95809.0
20140101:1500,7.56,67.64,16.0,0.0,16.0,229.05,2.68,163.0,95812.0
20140101:1600,6.83,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,95815.0
20140101:1700,6.09,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,95818.0
20140101:1800,5.72,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,95805.0
20140101:1900,5.34,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,95793.0
20140101:2000,4.97,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,95780.0
20140101:2100,4.98,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,95714.0
20140101:2200,5.0,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,95648.0
20140101:2300,5.02,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,95582.0
20140102:0000,4.64,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,95560.0
20140102:0100,4.26,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,95538.0
