B:Ln
47.279:9.666
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,4.75,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,94499.0
20140101:0100,4.15,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,94505.0
20140101:0200,3.54,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,94511.0
20140101:0300,2.94,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,94511.0
20140101:0400,2.34,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,94511.0
20140101:0500,1.73,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,94511.0
20140101:0600,1.13,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,94521.0
20140101:0700,0.52,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,94530.0
20140101:0800,2.96,69.25,38.0,0.0,38.0,218.75,2.43,115.0,94539.0
20140101:0900,4.98,63.63,202.0,560.98,71.0,222.2,2.2,132.0,94481.0
20140101:1000,7.0,58.01,258.0,478.69,112.0,225.65,1.98,149.0,94422.0
20140101:1100,9.02,52.39,309.0,618.82,101.0,229.1,1.75,166.0,94363.0
20140101:1200,8.47,57.07,291.0,575.79,104.0,229.4,1.93,166.0,94335.0
20140101:1300,7.92,61.75,242.0,599.88,79.0,229.7,2.11,166.0,94307.0
20140101:1400,7.37,66.43,157.0,658.99,38.0,230.0,2.29,166.0,94279.0
20140101:1500,6.65,67.64,16.0,0.0,16.0,229.05,2.68,163.0,94282.0
20140101:1600,5.93,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,94286.0
20140101:1700,5.2,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,94289.0
20140101:1800,4.85,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,94276.0
20140101:1900,4.49,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,94264.0
20140101:2000,4.14,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,94252.0
20140101:2100,4.14,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,94187.0
20140101:2200,4.14,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,94122.0
20140101:2300,4.14,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,94057.0
20140102:0000,3.77,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,94035.0
20140102:0100,3.4,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,94013.0
20140102:0200,3.03,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,93992.0
20140102:0300,3.11,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,93951.0
20140102:0400,3.2,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,93911.0
