B:Ln
47.253:9.761
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140101:0000,3.01,81.9,0.0,-0.0,0.0,237.54,2.64,149.0,91427.0
20140101:0100,2.42,80.45,0.0,-0.0,0.0,234.21,2.67,143.0,91433.0
20140101:0200,1.82,79.0,0.0,-0.0,0.0,230.88,2.7,137.0,91439.0
20140101:0300,1.22,77.56,0.0,-0.0,0.0,227.55,2.74,125.0,91439.0
20140101:0400,0.63,76.11,0.0,-0.0,0.0,224.22,2.77,113.0,91439.0
20140101:0500,0.03,74.66,0.0,-0.0,0.0,220.89,2.8,101.0,91439.0
20140101:0600,-0.57,73.21,0.0,-0.0,0.0,217.56,2.84,106.0,91448.0
20140101:0700,-1.17,71.77,0.0,-0.0,0.0,214.23,2.87,110.0,91457.0
20140101:0800,1.15,69.25,38.0,0.0,38.0,218.75,2.43,115.0,91466.0
20140101:0900,3.12,63.63,202.0,560.01,71.0,222.2,2.2,132.0,91409.0
20140101:1000,5.1,58.01,258.0,478.02,112.0,225.65,1.98,149.0,91352.0
20140101:1100,7.08,52.39,309.0,618.03,101.0,229.1,1.75,166.0,91295.0
20140101:1200,6.55,57.07,291.0,575.06,104.0,229.4,1.93,166.0,91268.0
20140101:1300,6.01,61.75,242.0,599.06,79.0,229.7,2.11,166.0,91241.0
20140101:1400,5.48,66.43,157.0,657.84,38.0,230.0,2.29,166.0,91214.0
20140101:1500,4.78,67.64,29.0,224.88,16.0,229.05,2.68,163.0,91217.0
20140101:1600,4.08,68.86,0.0,-0.0,0.0,228.1,3.06,159.0,91220.0
20140101:1700,3.39,70.07,0.0,-0.0,0.0,227.15,3.45,156.0,91223.0
20140101:1800,3.07,67.83,0.0,-0.0,0.0,229.03,3.58,155.0,91211.0
20140101:1900,2.76,65.58,0.0,-0.0,0.0,230.92,3.71,154.0,91199.0
20140101:2000,2.45,63.34,0.0,-0.0,0.0,232.8,3.85,153.0,91187.0
20140101:2100,2.41,62.54,0.0,-0.0,0.0,240.55,3.72,153.0,91124.0
20140101:2200,2.37,61.75,0.0,-0.0,0.0,248.3,3.6,154.0,91061.0
20140101:2300,2.33,60.95,0.0,-0.0,0.0,256.05,3.48,154.0,90999.0
20140102:0000,1.99,61.82,0.0,-0.0,0.0,263.32,3.7,154.0,90978.0
20140102:0100,1.65,62.68,0.0,-0.0,0.0,270.58,3.92,154.0,90957.0
20140102:0200,1.31,63.55,0.0,-0.0,0.0,277.85,4.14,154.0,90936.0
20140102:0300,1.42,65.81,0.0,-0.0,0.0,282.5,4.02,154.0,90897.0
20140102:0400,1.53,68.08,0.0,-0.0,0.0,287.15,3.91,154.0,90858.0
20140102:0500,1.64,70.34,0.0,-0.0,0.0,291.8,3.79,153.0,90819.0
20140102:0600,1.83,72.83,0.0,-0.0,0.0,294.2,3.43,155.0,90840.0
20140102:0700,2.02,75.33,0.0,-0.0,0.0,296.6,3.07,156.0,90861.0
20140102:0800,2.22,77.82,37.0,0.0,37.0,299.0,2.7,157.0,90882.0
20140102:0900,2.76,78.88,76.0,4.26,75.0,301.87,2.21,156.0,90888.0
20140102:1000,3.3,79.94,57.0,0.0,57.0,304.73,1.71,156.0,90894.0
20140102:1100,3.84,81.0,112.0,2.96,111.0,307.6,1.21,155.0,90900.0
20140102:1200,4.29,80.69,77.0,0.0,77.0,307.55,1.59,155.0,90936.0
20140102:1300,4.73,80.38,23.0,0.0,23.0,307.5,1.97,155.0,90972.0
20140102:1400,5.17,80.07,40.0,0.0,40.0,307.45,2.34,156.0,91008.0
20140102:1500,4.63,82.79,28.0,149.87,19.0,304.48,2.0,153.0,91056.0
20140102:1600,4.09,85.52,0.0,-0.0,0.0,301.52,1.66,151.0,91103.0
20140102:1700,3.55,88.24,0.0,-0.0,0.0,298.55,1.31,148.0,91151.0
20140102:1800,3.04,88.23,0.0,-0.0,0.0,291.98,1.55,145.0,91169.0
20140102:1900,2.54,88.21,0.0,-0.0,0.0,285.42,1.8,142.0,91187.0
20140102:2000,2.03,88.2,0.0,-0.0,0.0,278.85,2.04,139.0,91205.0
20140102:2100,1.89,87.88,0.0,-0.0,0.0,273.33,2.24,141.0,91196.0
20140102:2200,1.74,87.56,0.0,-0.0,0.0,267.82,2.44,144.0,91187.0
20140102:2300,1.59,87.24,0.0,-0.0,0.0,262.3,2.63,147.0,91178.0
20140103:0000,1.61,86.43,0.0,-0.0,0.0,262.63,2.84,146.0,91181.0
20140103:0100,1.64,85.62,0.0,-0.0,0.0,262.97,3.05,144.0,91184.0
20140103:0200,1.66,84.81,0.0,-0.0,0.0,263.3,3.26,143.0,91187.0
20140103:0300,1.71,84.74,0.0,-0.0,0.0,261.43,3.4,144.0,91190.0
20140103:0400,1.76,84.67,0.0,-0.0,0.0,259.57,3.55,146.0,91193.0
20140103:0500,1.81,84.6,0.0,-0.0,0.0,257.7,3.7,148.0,91196.0
20140103:0600,2.53,82.12,0.0,-0.0,0.0,261.35,3.52,152.0,91232.0
20140103:0700,3.25,79.63,0.0,-0.0,0.0,265.0,3.34,156.0,91268.0
20140103:0800,3.98,77.15,52.0,0.0,52.0,268.65,3.16,160.0,91304.0
20140103:0900,4.81,75.05,104.0,29.74,97.0,276.68,2.85,163.0,91295.0
20140103:1000,5.65,72.94,195.0,152.82,148.0,284.72,2.54,166.0,91286.0
20140103:1100,6.48,70.84,126.0,5.89,124.0,292.75,2.23,170.0,91277.0
20140103:1200,6.66,70.65,162.0,42.61,148.0,290.88,2.19,168.0,91304.0
20140103:1300,6.83,70.46,151.0,86.95,127.0,289.02,2.15,167.0,91331.0
20140103:1400,7.01,70.27,50.0,0.0,50.0,287.15,2.11,166.0,91358.0
20140103:1500,6.56,73.37,31.0,176.29,20.0,274.77,2.08,161.0,91391.0
20140103:1600,6.11,76.48,0.0,-0.0,0.0,262.38,2.05,155.0,91424.0
